SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-27-2019,Single Family Residential,1525 Goodman Ave,Redondo Beach,CA,90278,1230000,3,2.0,154 - N Redondo Bch/Golden Hills,1824,2507,1982,71,674,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1525-Goodman-Ave-90278/home/6701504,CRMLS,SB19240967,N,Y,33.8679454,-118.3868148
PAST SALE,November-9-2018,Single Family Residential,1739 Stanford Ave,Redondo Beach,CA,90278,1199000,3,2.5,154 - N Redondo Bch/Golden Hills,2372,2503,1981,454,505,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1739-Stanford-Ave-90278/home/6714773,CRMLS,SB18228570,N,Y,33.8711818,-118.3896781
PAST SALE,August-7-2019,Single Family Residential,20003 Mildred Ave,Torrance,CA,90503,1155000,3,2.0,131 - West Torrance,1667,6224,1970,183,693,,Sold,,,http://www.redfin.com/CA/Torrance/20003-Mildred-Ave-90503/home/7713721,CRMLS,SB19160612,N,Y,33.850182,-118.376381
PAST SALE,October-1-2018,Single Family Residential,1218 2nd St,Hermosa Beach,CA,90254,1153000,3,2.0,150 - Hermosa Bch East,1746,2261,1968,493,660,,Sold,,,http://www.redfin.com/CA/Hermosa-Beach/1218-2nd-St-90254/home/6716703,CRMLS,SB18224328,N,Y,33.8572768,-118.385906
PAST SALE,,Single Family Residential,2834 Pinckard Ave,Redondo Beach,CA,90278,1154000,2,1.0,,741,8315,1943,,1557,,,,,http://www.redfin.com/CA/Redondo-Beach/2834-Pinckard-Ave-90278/home/6680155,,,N,Y,33.8826774,-118.3680444
PAST SALE,November-27-2018,Single Family Residential,1303 S Irena Ave,Redondo Beach,CA,90277,1255000,2,1.5,156 - S Redondo Bch S of Torrance Bl,1678,7035,1952,436,748,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1303-S-Irena-Ave-90277/home/7706650,CRMLS,SB18260747,N,Y,33.8220537,-118.3785858
PAST SALE,June-6-2019,Single Family Residential,22303 Shadycroft Ave,Torrance,CA,90505,1020000,3,2.0,129 - South Torrance,1194,5801,1952,245,854,,Sold,,,http://www.redfin.com/CA/Torrance/22303-Shadycroft-Ave-90505/home/7709756,CRMLS,SB19097777,N,Y,33.8259079,-118.3734274
PAST SALE,April-4-2018,Single Family Residential,123 Calle De Andalucia,Redondo Beach,CA,90277,1330000,3,1.75,Hollywood Riviera,1566,6393,1948,673,849,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/123-Cll-De-Andalucia-90277/home/7708799,TheMLS,18-320186,N,Y,33.8055022,-118.3818496
PAST SALE,December-13-2018,Single Family Residential,210 Via Pasqual,Redondo Beach,CA,90277,1920000,3,3.0,128 - Hollywood Riviera,2350,7522,1954,420,817,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/210-Via-Pasqual-90277/home/7708182,CRMLS,OC18169852,N,Y,33.8067757,-118.3834929
PAST SALE,July-2-2018,Single Family Residential,1842 9th St,Manhattan Beach,CA,90266,1610000,3,2.0,147 - Manhattan Bch Mira Costa,1754,7485,1952,584,918,,Sold,,,http://www.redfin.com/CA/Manhattan-Beach/1842-9th-St-90266/home/6702389,CRMLS,SB18041931,N,Y,33.8844523,-118.3793271
PAST SALE,,Single Family Residential,1843 11th St,Manhattan Beach,CA,90266,1450000,3,2.0,,1408,6498,1953,,1030,,,,,http://www.redfin.com/CA/Manhattan-Beach/1843-11th-St-90266/home/6702337,,,N,Y,33.8867055,-118.3793259
PAST SALE,July-10-2018,Single Family Residential,404 Via Linda Vis,Redondo Beach,CA,90277,1379000,3,1.75,128 - Hollywood Riviera,1542,7115,1954,576,894,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/404-Via-Linda-Vis-90277/home/7709409,CRMLS,SB18112788,N,Y,33.8121203,-118.3782212
PAST SALE,December-28-2018,Single Family Residential,336 Calle De Andalucia,Redondo Beach,CA,90277,1250000,3,1.75,128 - Hollywood Riviera,1493,7099,1948,405,837,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/336-Cll-De-Andalucia-90277/home/7708883,CRMLS,PV18296950,N,Y,33.8050625,-118.3765469
PAST SALE,February-28-2018,Single Family Residential,340 Via Pasqual,Redondo Beach,CA,90277,1100000,3,1.5,128 - Hollywood Riviera,1120,6363,1948,708,982,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/340-Via-Pasqual-90277/home/7708788,CRMLS,PV18048123,N,Y,33.8061231,-118.3797934
PAST SALE,March-28-2018,Single Family Residential,608 Palos Verdes Blvd,Redondo Beach,CA,90277,1256000,3,1.75,128 - Hollywood Riviera,1553,6704,1954,680,809,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/608-Palos-Verdes-Blvd-90277/home/7707873,CRMLS,PV18034959,N,Y,33.805835,-118.3899063
PAST SALE,March-29-2018,Single Family Residential,114 Via Los Altos,Redondo Beach,CA,90277,1090000,2,1.0,128 - Hollywood Riviera,940,5105,1949,679,1160,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/114-Via-Los-Altos-90277/home/7709269,CRMLS,SB18037135,N,Y,33.8117422,-118.3751206
PAST SALE,October-24-2019,Single Family Residential,1908 Bataan,Redondo Beach,CA,90278,1190000,2,1.0,151 - N Redondo Bch/Villas North,1340,7500,1944,105,888,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1908-Bataan-Rd-90278/home/6678499,CRMLS,SB19191304,N,Y,33.8844549,-118.3779515
PAST SALE,,Single Family Residential,2022 Robinson St,Redondo Beach,CA,90278,2020000,5,5.0,,3360,5113,2016,,601,,,,,http://www.redfin.com/CA/Redondo-Beach/2022-Robinson-St-90278/home/6685757,,,N,Y,33.8799655,-118.3750009
PAST SALE,November-30-2018,Single Family Residential,413 Via Anita,Redondo Beach,CA,90277,1725000,3,2.0,128 - Hollywood Riviera,1685,7769,1954,433,1024,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/413-Via-Anita-90277/home/7708191,CRISNet,SR18233277,N,Y,33.8064053,-118.3834866
PAST SALE,August-30-2019,Single Family Residential,318 Via San Sebastian,Redondo Beach,CA,90277,1500000,3,1.75,128 - Hollywood Riviera,1413,7887,1954,160,1062,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/318-Via-San-Sebastian-90277/home/7707939,CRMLS,SB19160334,N,Y,33.8057156,-118.3879556
PAST SALE,March-21-2018,Single Family Residential,552 Calle Mayor,Redondo Beach,CA,90277,1250000,3,2.0,128 - Hollywood Riviera,1409,6330,1954,687,887,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/552-Calle-Mayor-90277/home/7708310,CRMLS,SB18041539,N,Y,33.810888,-118.374518
PAST SALE,May-8-2019,Single Family Residential,105 Calle De Arboles,Redondo Beach,CA,90277,1650000,3,2.0,128 - Hollywood Riviera,1416,7668,1954,274,1165,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/105-Calle-de-Arboles-90277/home/7707911,CRMLS,SB19070567,N,Y,33.8047861,-118.3891069
PAST SALE,April-19-2018,Single Family Residential,1728 Carver St,Redondo Beach,CA,90278,1100000,3,2.0,154 - N Redondo Bch/Golden Hills,1786,2523,1980,658,616,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1728-Carver-St-90278/home/6701039,CRMLS,SB18059398,N,Y,33.8717158,-118.3840179
PAST SALE,April-12-2018,Single Family Residential,1523 Steinhart Ave,Redondo Beach,CA,90278,1155000,3,2.5,154 - N Redondo Bch/Golden Hills,1922,2485,1987,665,601,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1523-Steinhart-Ave-90278/home/6701552,CRMLS,SB18043918,N,Y,33.8682365,-118.3860039
PAST SALE,March-14-2019,Single Family Residential,1530 Herrin St,Redondo Beach,CA,90278,1212500,3,2.0,154 - N Redondo Bch/Golden Hills,1872,2500,1986,329,648,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1530-Herrin-St-90278/home/6700831,CRMLS,SB19027927,N,Y,33.8691301,-118.3849224
PAST SALE,May-30-2019,Single Family Residential,1618 Carver St,Redondo Beach,CA,90278,1275000,3,2.5,154 - N Redondo Bch/Golden Hills,1881,2505,1981,252,678,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1618-Carver-St-90278/home/6700910,CRMLS,SB19118412,N,Y,33.8699873,-118.3842005
PAST SALE,November-28-2018,Single Family Residential,1704 Carver St,Redondo Beach,CA,90278,1200000,3,2.5,154 - N Redondo Bch/Golden Hills,1866,2525,1982,435,643,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1704-Carver-St-90278/home/6701041,CRMLS,SB18258246,N,Y,33.8708988,-118.3841206
PAST SALE,December-7-2018,Single Family Residential,1750 Dixon St,Redondo Beach,CA,90278,1120000,3,2.5,154 - N Redondo Bch/Golden Hills,1922,2506,1984,426,583,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1750-Dixon-St-90278/home/6701144,CRMLS,SB18239071,N,Y,33.8724826,-118.3857182
PAST SALE,October-29-2018,Single Family Residential,1738 Reed St,Redondo Beach,CA,90278,1185000,3,2.5,154 - N Redondo Bch/Golden Hills,1846,2520,1994,465,642,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1738-Reed-St-90278/home/6701180,CRMLS,PV18218389,N,Y,33.8719394,-118.3864486
PAST SALE,July-7-2018,Single Family Residential,1518 Steinhart Ave,Redondo Beach,CA,90278,1181000,3,2.25,154 - N Redondo Bch/Golden Hills,2072,2498,1988,579,570,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1518-Steinhart-Ave-90278/home/6701595,CRMLS,SB18101344,N,Y,33.8683034,-118.3855495
PAST SALE,July-3-2019,Single Family Residential,1605 Ford Ave,Redondo Beach,CA,90278,1260000,3,2.5,154 - N Redondo Bch/Golden Hills,1878,2485,1989,218,671,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1605-Ford-Ave-90278/home/6701386,CRMLS,SB19115858,N,Y,33.8695421,-118.3859807
PAST SALE,October-11-2019,Single Family Residential,1715 Herrin St,Redondo Beach,CA,90278,1265000,3,2.0,154 - N Redondo Bch/Golden Hills,1889,2526,1984,118,670,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1715-Herrin-St-90278/home/6701116,CRMLS,SB19172058,N,Y,33.8712403,-118.3853987
PAST SALE,October-16-2019,Single Family Residential,1521 Goodman Ave,Redondo Beach,CA,90278,1035000,3,2.0,154 - N Redondo Bch/Golden Hills,1767,2501,1974,113,586,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1521-Goodman-Ave-90278/home/6701502,CRMLS,SB19211403,N,Y,33.8679396,-118.3866778
PAST SALE,October-11-2018,Single Family Residential,1607 Steinhart,Redondo Beach,CA,90278,1570000,3,4.25,154 - N Redondo Bch/Golden Hills,2219,2500,2016,483,708,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1607-Steinhart-Ave-90278/home/143516664,CRMLS,SB18216185,N,Y,33.8692492,-118.3866321
PAST SALE,November-14-2019,Single Family Residential,1512 Goodman Ave,Redondo Beach,CA,90278,1350000,3,2.5,154 - N Redondo Bch/Golden Hills,1808,2502,1984,84,747,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1512-Goodman-Ave-90278/home/6701544,CRMLS,SB19232948,N,Y,33.8678186,-118.3860724
PAST SALE,December-30-2019,Single Family Residential,1615 Herrin St,Redondo Beach,CA,90278,1260000,3,2.0,154 - N Redondo Bch/Golden Hills,1767,2496,1974,38,713,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1615-Herrin-St-90278/home/6700849,CRMLS,OC19181379,N,Y,33.869732,-118.3854215
PAST SALE,December-19-2019,Single Family Residential,1617 Carver St,Redondo Beach,CA,90278,1130000,3,2.0,154 - N Redondo Bch/Golden Hills,1786,2505,1980,49,633,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1617-Carver-St-90278/home/6700884,CRMLS,SB19244646,N,Y,33.8699246,-118.3846113
PAST SALE,February-5-2020,Single Family Residential,1521 Steinhart Ave,Redondo Beach,CA,90278,1296230,3,2.5,154 - N Redondo Bch/Golden Hills,1922,2512,1987,1,674,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1521-Steinhart-Ave-90278/home/6701551,CRMLS,SB20000560,N,Y,33.8682006,-118.3859469
PAST SALE,,Single Family Residential,1777 Gates Ave,Manhattan Beach,CA,90266,1000000,3,2.0,,1767,5156,1968,,566,,,,,http://www.redfin.com/CA/Manhattan-Beach/1777-Gates-Ave-90266/home/6701749,,,N,Y,33.8787011,-118.3802657
PAST SALE,May-16-2018,Single Family Residential,1927 Nelson Ave,Redondo Beach,CA,90278,1185000,3,2.0,151 - N Redondo Bch/Villas North,1662,7503,1953,631,713,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/1927-Nelson-Ave-90278/home/6688205,CRMLS,SB18031975,N,Y,33.8749107,-118.3778097
