SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-31-2018,Condo/Co-op,28004 S Western Ave #305,San Pedro,CA,90732,345000,1,1.0,193 - San Pedro - North,752,116052,1990,556,459,216,Sold,,,http://www.redfin.com/CA/San-Pedro/28004-S-Western-Ave-90732/unit-305/home/7684566,CRMLS,SB18152206,N,Y,33.7659095,-118.3081864
PAST SALE,January-24-2020,Condo/Co-op,344 S Miraleste Dr #296,San Pedro,CA,90732,395000,2,2.0,186 - Miraleste Pines,1107,356314,1971,14,357,405,Sold,,,http://www.redfin.com/CA/San-Pedro/344-Miraleste-Dr-90732/unit-296/home/7735373,CRMLS,PW19279498,N,Y,33.7411723,-118.315582
PAST SALE,August-30-2019,Townhouse,1993 Mount Shasta Dr,San Pedro,CA,90732,550000,2,3.0,193 - San Pedro - North,1307,255188,1976,161,421,425,Sold,,,http://www.redfin.com/CA/San-Pedro/1993-Mt-Shasta-Dr-90732/home/7684862,CRMLS,SB19175715,N,Y,33.7624669,-118.3038297
PAST SALE,September-27-2018,Condo/Co-op,28006 S Western Ave #370,San Pedro,CA,90732,310000,1,1.0,193 - San Pedro - North,770,116052,1990,498,403,216,Sold,,,http://www.redfin.com/CA/San-Pedro/28006-S-Western-Ave-90732/unit-370/home/7684603,CRMLS,SB18121145,N,Y,33.7659095,-118.3081864
PAST SALE,July-16-2018,Condo/Co-op,1432 Brett Pl #77,San Pedro,CA,90732,350000,1,1.0,193 - San Pedro - North,711,249580,1987,571,492,353,Sold,,,http://www.redfin.com/CA/San-Pedro/1432-Brett-Pl-90732/unit-77/home/7686057,CRMLS,PW18117242,N,Y,33.7572529,-118.3078992
PAST SALE,October-29-2018,Condo/Co-op,1326 W Park Western Dr #202,San Pedro,CA,90732,447500,3,2.0,193 - San Pedro - North,1189,151276,1983,466,376,629,Sold,,,http://www.redfin.com/CA/San-Pedro/1326-W-Park-Western-Dr-90732/unit-202/home/7686592,CRMLS,PV18204374,N,Y,33.7537369,-118.306647
PAST SALE,August-9-2018,Condo/Co-op,1424 Brett Pl #155,San Pedro,CA,90732,500000,3,2.0,193 - San Pedro - North,1365,176072,1987,547,366,425,Sold,,,http://www.redfin.com/CA/San-Pedro/1424-Brett-Pl-90732/unit-155/home/7686661,CRMLS,SB18142420,N,Y,33.7568383,-118.3058357
PAST SALE,August-1-2018,Condo/Co-op,1424 Brett Pl #252,San Pedro,CA,90732,370000,1,1.0,193 - San Pedro - North,864,176072,1987,555,428,425,Sold,,,http://www.redfin.com/CA/San-Pedro/1424-Brett-Pl-90732/unit-252/home/7686718,CRMLS,SB18059726,N,Y,33.7568383,-118.3058357
PAST SALE,July-20-2018,Condo/Co-op,326 S Miraleste Dr #203,San Pedro,CA,90732,370000,2,2.0,186 - Miraleste Pines,1141,356299,1971,567,324,377,Sold,,,http://www.redfin.com/CA/San-Pedro/326-Miraleste-Dr-90732/unit-203/home/7735280,CRMLS,WS18129329,N,Y,33.7411723,-118.315582
PAST SALE,June-15-2018,Condo/Co-op,360 S Miraleste Dr #350,San Pedro,CA,90732,331000,2,2.0,186 - Miraleste Pines,1143,356299,1971,602,290,377,Sold,,,http://www.redfin.com/CA/San-Pedro/360-Miraleste-Dr-90732/unit-350/home/7735427,CRMLS,SB18086125,N,Y,33.7411723,-118.315582
