SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-3-2019,Multi-Family (2-4 Unit),1144 W 24th St,San Pedro,CA,90731,670000,4,2.0,183 - Vista Del Oro,1341,5402,1921,219,500,,Sold,,,http://www.redfin.com/CA/San-Pedro/1144-W-24th-St-90731/home/7694062,CRMLS,SB19116338,N,Y,33.7226949,-118.3023536
PAST SALE,January-10-2020,Multi-Family (2-4 Unit),600 N Gaffey Pl,San Pedro,CA,90731,575000,2,2.0,187 - Holy Trinity,1200,4800,1949,28,479,,Sold,,,http://www.redfin.com/CA/San-Pedro/600-N-Gaffey-Pl-90731/home/7687937,CRMLS,SB18272914,N,Y,33.7486127,-118.2920948
PAST SALE,November-14-2018,Multi-Family (2-4 Unit),1037 W Summerland Ave,San Pedro,CA,90732,555000,5,2.0,Holy Trinity,1522,4761,1921,450,365,,Sold,,,http://www.redfin.com/CA/San-Pedro/1037-W-Summerland-Ave-90732/home/7687269,TheMLS,18-390858,N,Y,33.7474585,-118.2997247
PAST SALE,March-15-2019,Multi-Family (2-4 Unit),956 W Summerland Ave,San Pedro,CA,90731,800000,8,4.0,193 - San Pedro - North,2550,4770,2007,329,314,,Sold,,,http://www.redfin.com/CA/San-Pedro/956-W-Summerland-Ave-90731/home/7687475,CRMLS,PW18272749,N,Y,33.747871,-118.298057
PAST SALE,September-12-2019,Multi-Family (2-4 Unit),473 N Bandini St,San Pedro,CA,90731,920000,8,4.0,187 - Holy Trinity,3000,4400,1965,148,307,,Sold,,,http://www.redfin.com/CA/San-Pedro/473-N-Bandini-St-90731/home/7687277,CRMLS,SB19134579,N,Y,33.7472671,-118.2992057
PAST SALE,June-5-2018,Multi-Family (2-4 Unit),956 W Elberon Ave,San Pedro,CA,90731,694000,3,3.0,187 - Holy Trinity,1350,4796,1959,612,514,,Sold,,,http://www.redfin.com/CA/San-Pedro/956-W-Elberon-Ave-90731/home/7687444,CRMLS,SB18097851,N,Y,33.748666,-118.298052
PAST SALE,December-21-2018,Multi-Family (2-4 Unit),1302 W Sepulveda St,San Pedro,CA,90732,702000,5,2.5,187 - Holy Trinity,2538,7007,1936,413,277,,Sold,,,http://www.redfin.com/CA/San-Pedro/1302-W-Sepulveda-St-90732/home/7689395,CRMLS,SB18265582,N,Y,33.7453874,-118.3044358
PAST SALE,April-23-2019,Multi-Family (2-4 Unit),451 W Elberon Ave,San Pedro,CA,90731,510000,3,3.0,189 - Barton Hill,1622,4796,1963,290,314,,Sold,,,http://www.redfin.com/CA/San-Pedro/451-W-Elberon-Ave-90731/home/7688033,CRMLS,WS18296790,N,Y,33.749896,-118.288297
PAST SALE,December-26-2019,Multi-Family (2-4 Unit),578 W Upland Ave,San Pedro,CA,90731,848500,6,5.0,189 - Barton Hill,2656,4809,1963,43,319,,Sold,,,http://www.redfin.com/CA/San-Pedro/578-W-Upland-Ave-90731/home/7688004,CRMLS,SB19263647,N,Y,33.750256,-118.28949
PAST SALE,January-10-2019,Multi-Family (5+ Unit),1350 W 9th St,San Pedro,CA,90732,3200000,25,16.0,183 - Vista Del Oro,12070,11502,1973,393,265,,Sold,,,http://www.redfin.com/CA/San-Pedro/1350-W-9th-St-90732/unit-1/home/7692893,CRMLS,SB18277512,N,Y,33.7364006,-118.3068418
