SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-30-2018,Single Family Residential,1817 S Meyler St,San Pedro,CA,90731,650000,3,1.75,183 - Vista Del Oro,1301,4501,1931,465,500,,Sold,,,http://www.redfin.com/CA/San-Pedro/1817-S-Meyler-St-90731/home/7694423,CRMLS,SB18188734,N,Y,33.7275394,-118.2970575
PAST SALE,March-26-2018,Single Family Residential,221 N Bandini St,San Pedro,CA,90731,396000,2,1.0,187 - Holy Trinity,540,2280,1938,683,733,,Sold,,,http://www.redfin.com/CA/San-Pedro/221-N-Bandini-St-90731/home/7689459,CRMLS,SB18030223,N,Y,33.7450707,-118.2990925
PAST SALE,June-17-2019,Single Family Residential,3408 S Kerckhoff Ave,San Pedro,CA,90731,560000,3,2.0,181 - Point Fermin,1090,2498,1923,235,514,,Sold,,,http://www.redfin.com/CA/San-Pedro/3408-S-Kerckhoff-Ave-90731/home/7696482,CRMLS,PW19095170,N,Y,33.7130995,-118.2894558
PAST SALE,June-23-2019,Single Family Residential,1125 W Elberon Ave,San Pedro,CA,90732,610000,3,1.0,187 - Holy Trinity,1162,4952,1954,229,525,,Sold,,,http://www.redfin.com/CA/San-Pedro/1125-W-Elberon-Ave-90732/home/7687108,CRMLS,SB19076242,N,Y,33.7485401,-118.3016043
PAST SALE,June-27-2019,Single Family Residential,725 N Bandini St,San Pedro,CA,90731,639000,3,2.0,187 - Holy Trinity,1145,4801,1938,225,558,,Sold,,,http://www.redfin.com/CA/San-Pedro/725-N-Bandini-St-90731/home/7687219,CRMLS,SB19106120,N,Y,33.7496754,-118.2991381
PAST SALE,March-12-2018,Single Family Residential,1554 Plymouth Ln,San Pedro,CA,90732,615000,2,2.5,183 - Vista Del Oro,1541,409269,1998,697,399,130,Sold,,,http://www.redfin.com/CA/San-Pedro/1554-Plymouth-Ln-90732/home/7693231,CRMLS,PV17199761,N,Y,33.728347,-118.310679
PAST SALE,May-23-2018,Single Family Residential,878 W 6th St,San Pedro,CA,90731,507300,2,2.0,187 - Holy Trinity,950,5401,1917,625,534,,Sold,,,http://www.redfin.com/CA/San-Pedro/878-W-6th-St-90731/home/7689178,CRMLS,SB18026380,N,Y,33.7389507,-118.2962609
PAST SALE,March-2-2018,Single Family Residential,973 W 23rd St,San Pedro,CA,90731,620000,4,2.0,183 - Vista Del Oro,1584,5003,1923,707,391,,Sold,,,http://www.redfin.com/CA/San-Pedro/973-W-23rd-St-90731/home/7694992,CRMLS,RS17260491,N,Y,33.72315,-118.2984531
PAST SALE,,Single Family Residential,661 W 26th St,San Pedro,CA,90731,530000,3,1.0,,1120,5407,1923,,473,,,,,http://www.redfin.com/CA/San-Pedro/661-W-26th-St-90731/home/7695887,,,N,Y,33.7204127,-118.2912494
PAST SALE,February-12-2018,Single Family Residential,437 W 10th St,San Pedro,CA,90731,478000,2,2.0,185 - Plaza,1024,5001,1911,725,467,,Sold,,,http://www.redfin.com/CA/San-Pedro/437-W-10th-St-90731/home/7690954,CRMLS,SB18001848,N,Y,33.7349056,-118.2865327
