SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-4-2019,Single Family Residential,1265 W 14th St,San Pedro,CA,90731,860000,4,2.0,183 - Vista Del Oro,1800,6076,1938,126,478,,Sold,,,http://www.redfin.com/CA/San-Pedro/1265-W-14th-St-90731/home/7693124,CRMLS,SB19202556,N,Y,33.7313271,-118.3048012
PAST SALE,January-15-2019,Single Family Residential,3708 S Dolphin St,San Pedro,CA,90731,800000,2,2.0,180 - Palisades,1513,6249,1925,388,529,,Sold,,,http://www.redfin.com/CA/San-Pedro/3708-S-Dolphin-St-90731/home/7698336,CRMLS,SB18253989,N,Y,33.714523,-118.3073129
PAST SALE,August-8-2018,Single Family Residential,758 W 22nd St,San Pedro,CA,90731,819000,3,2.5,183 - Vista Del Oro,2212,5407,1986,548,370,,Sold,,,http://www.redfin.com/CA/San-Pedro/758-W-22nd-St-90731/home/7694863,CRMLS,SB18150986,N,Y,33.7244398,-118.293749
PAST SALE,June-26-2018,Single Family Residential,2114 Chandeleur Dr,Rancho Palos Verdes,CA,90275,1800000,4,3.0,167 - PV Dr East,3654,18717,1958,591,493,,Sold,,,http://www.redfin.com/CA/Rancho-Palos-Verdes/2114-Chandeleur-Dr-90275/home/7736370,CRMLS,PV18120175,N,Y,33.7371428,-118.3198255
PAST SALE,May-8-2018,Single Family Residential,2025 S Patton Ave,San Pedro,CA,90732,840000,3,2.75,183 - Vista Del Oro,1881,5401,1951,640,447,,Sold,,,http://www.redfin.com/CA/San-Pedro/2025-S-Patton-Ave-90732/home/7693572,CRMLS,SB18043601,N,Y,33.7253539,-118.3058972
PAST SALE,May-30-2018,Single Family Residential,2820 Baywater Ave,San Pedro,CA,90731,1279000,3,3.0,180 - Palisades,1798,10740,1955,618,711,,Sold,,,http://www.redfin.com/CA/San-Pedro/2820-Baywater-Ave-90731/home/7697142,CRMLS,PW18090998,N,Y,33.7180909,-118.2932976
PAST SALE,July-17-2018,Single Family Residential,1322 W 25th St,San Pedro,CA,90732,920000,4,3.0,Vista del Oro,2963,7898,1962,570,310,,Sold,,,http://www.redfin.com/CA/San-Pedro/1322-W-25th-St-90732/home/7693371,PFAR,818001472,N,Y,33.7218081,-118.3065137
PAST SALE,May-31-2018,Single Family Residential,1661 Laraine Cir,San Pedro,CA,90732,875000,4,2.75,186 - Miraleste Pines,1970,5142,1975,617,444,,Sold,,,http://www.redfin.com/CA/San-Pedro/1661-Laraine-Cir-90732/home/7735262,CRMLS,SB18071700,N,Y,33.7421289,-118.3136607
PAST SALE,April-17-2019,Single Family Residential,1244 W 10th St,San Pedro,CA,90731,930000,3,2.75,183 - Vista Del Oro,1715,6750,1944,296,542,,Sold,,,http://www.redfin.com/CA/San-Pedro/1244-W-10th-St-90731/home/7693003,CRMLS,SB19010331,N,Y,33.7354157,-118.3044121
PAST SALE,April-4-2019,Single Family Residential,3429 S Kerckhoff Ave,San Pedro,CA,90731,1016000,4,4.0,181 - Point Fermin,2121,5001,1950,309,479,,Sold,,,http://www.redfin.com/CA/San-Pedro/3429-S-Kerckhoff-Ave-90731/home/7696493,CRMLS,SB18242021,N,Y,33.7127224,-118.2900038
PAST SALE,February-27-2019,Single Family Residential,1832 Pescadores,San Pedro,CA,90732,805000,3,2.0,179 - South Shores,1574,8030,1957,345,511,,Sold,,,http://www.redfin.com/CA/San-Pedro/1832-Pescadores-Ave-90732/home/7736760,CRMLS,PV19000710,N,Y,33.7275562,-118.3154416
PAST SALE,January-18-2019,Single Family Residential,1711 S Averill Ave,San Pedro,CA,90732,869000,2,2.0,183 - Vista Del Oro,1638,5393,1926,385,531,,Sold,,,http://www.redfin.com/CA/San-Pedro/1711-S-Averill-Ave-90732/home/7693473,CRMLS,SB18234081,N,Y,33.7284331,-118.3080436
PAST SALE,March-19-2019,Single Family Residential,1734 W Chandeleur Dr,San Pedro,CA,90732,870000,4,2.0,186 - Miraleste Pines,1638,7520,1955,325,531,,Sold,,,http://www.redfin.com/CA/San-Pedro/1734-W-Chandeleur-Dr-90732/home/7735028,CRMLS,SB18238349,N,Y,33.7396123,-118.3139347
PAST SALE,April-11-2019,Single Family Residential,1802 Mantis Ave,San Pedro,CA,90732,1100000,4,2.75,179 - South Shores,3227,7113,1975,302,341,,Sold,,,http://www.redfin.com/CA/San-Pedro/1802-Mantis-Ave-90732/home/7736777,CRMLS,PV19029547,N,Y,33.7286742,-118.3140945
PAST SALE,April-12-2019,Single Family Residential,1432 W 16th St,San Pedro,CA,90732,1105228,6,5.25,183 - Vista Del Oro,6474,5501,1983,301,171,,Sold,,,http://www.redfin.com/CA/San-Pedro/1432-W-16th-St-90732/home/7692650,CRMLS,SB19040340,N,Y,33.7300333,-118.309366
PAST SALE,March-29-2019,Single Family Residential,1636 Miracosta St,San Pedro,CA,90732,800000,3,2.0,186 - Miraleste Pines,2006,6425,1955,315,399,,Sold,,,http://www.redfin.com/CA/San-Pedro/1636-Miracosta-St-90732/home/7734691,CRMLS,SB19027806,N,Y,33.7431339,-118.3130898
PAST SALE,February-15-2018,Single Family Residential,1696 Morse Dr,San Pedro,CA,90732,1052000,4,2.25,179 - South Shores,2292,7370,1961,722,459,,Sold,,,http://www.redfin.com/CA/San-Pedro/1696-Morse-Dr-90732/home/7736814,CRMLS,PV17247952,N,Y,33.7290529,-118.3141858
PAST SALE,,Single Family Residential,1206 S Weymouth Ave,San Pedro,CA,90732,1110500,4,5.0,,2473,19046,1926,,449,,,,,http://www.redfin.com/CA/San-Pedro/1206-S-Weymouth-Ave-90732/home/7692598,,,N,Y,33.7333444,-118.308957
PAST SALE,November-27-2018,Single Family Residential,1222 W 24th St,San Pedro,CA,90731,1015000,4,3.0,183 - Vista Del Oro,2468,5402,1997,437,411,,Sold,,,http://www.redfin.com/CA/San-Pedro/1222-W-24th-St-90731/home/7693672,CRMLS,SB18204270,N,Y,33.7227282,-118.3040248
PAST SALE,August-22-2018,Single Family Residential,1776 W 27th St,San Pedro,CA,90732,899000,2,2.0,179 - South Shores,1280,5913,1955,534,702,,Sold,,,http://www.redfin.com/CA/San-Pedro/1776-W-27th-St-90732/home/7737463,CRMLS,SB18163970,N,Y,33.7225093,-118.3178163
PAST SALE,October-12-2018,Single Family Residential,1176 W 14th St,San Pedro,CA,90731,849000,4,3.0,183 - Vista Del Oro,2835,4129,1988,483,299,,Sold,,,http://www.redfin.com/CA/San-Pedro/1176-W-14th-St-90731/home/7692361,CRMLS,SB18086376,N,Y,33.7317928,-118.3029287
PAST SALE,June-11-2018,Single Family Residential,1215 S Averill Ave,San Pedro,CA,90732,890000,2,2.0,183 - Vista Del Oro,2006,6750,1924,606,444,,Sold,,,http://www.redfin.com/CA/San-Pedro/1215-S-Averill-Ave-90732/home/7692607,CRMLS,PV18081751,N,Y,33.7331188,-118.3080669
PAST SALE,April-27-2018,Single Family Residential,1423 Silvius Ave,San Pedro,CA,90731,930000,3,2.0,180 - Palisades,1900,6501,1961,651,489,,Sold,,,http://www.redfin.com/CA/San-Pedro/1423-Silvius-Ave-90731/home/7698245,CRMLS,PV18060635,N,Y,33.7160754,-118.30882
PAST SALE,July-26-2019,Single Family Residential,725 S Bynner Dr,San Pedro,CA,90732,1050000,3,3.0,183 - Vista Del Oro,1650,6547,1955,196,636,,Sold,,,http://www.redfin.com/CA/San-Pedro/725-Bynner-Dr-90732/home/7735602,CRMLS,SB19126636,N,Y,33.7371652,-118.314574
PAST SALE,September-4-2018,Single Family Residential,2216 Barrywood Ave,San Pedro,CA,90731,830000,5,2.0,193 - San Pedro - North,2010,16152,1964,521,413,,Sold,,,http://www.redfin.com/CA/San-Pedro/2216-Barrywood-Ave-90731/home/7683227,CRMLS,SB18174372,N,Y,33.7656887,-118.2963979
PAST SALE,February-14-2018,Single Family Residential,1113 S Dodson Ave,San Pedro,CA,90732,824000,3,2.0,183 - Vista Del Oro,1663,8102,1943,723,495,,Sold,,,http://www.redfin.com/CA/San-Pedro/1113-S-Dodson-Ave-90732/home/7735945,CRMLS,SB18001966,N,Y,33.733776,-118.3121742
PAST SALE,March-1-2018,Single Family Residential,1733 Mermaid Dr,San Pedro,CA,90732,840000,3,2.0,179 - South Shores,2030,8535,1962,708,414,,Sold,,,http://www.redfin.com/CA/San-Pedro/1733-Mermaid-Dr-90732/home/7736603,CRMLS,SB17238672,N,Y,33.7293334,-118.3226567
PAST SALE,,Single Family Residential,1234 Big Canyon Pl,San Pedro,CA,90732,800000,3,2.0,,1389,6190,1940,,576,,,,,http://www.redfin.com/CA/San-Pedro/1234-Big-Canyon-Pl-90732/home/7689998,,,N,Y,33.739667,-118.3030657
PAST SALE,July-13-2018,Single Family Residential,404 N Hanford Ave,San Pedro,CA,90732,835000,4,2.5,187 - Holy Trinity,2305,5118,1954,574,362,,Sold,,,http://www.redfin.com/CA/San-Pedro/404-N-Hanford-Ave-90732/home/7687283,CRMLS,PW18139566,N,Y,33.7461265,-118.301787
PAST SALE,July-12-2018,Single Family Residential,314 Dave Dr,San Pedro,CA,90732,930000,4,2.25,186 - Miraleste Pines,2429,5000,1974,575,383,,Sold,,,http://www.redfin.com/CA/San-Pedro/314-Dave-Dr-90732/home/7735190,CRMLS,PV18059237,N,Y,33.7413164,-118.3119253
PAST SALE,May-1-2018,Single Family Residential,527 W 36th St,San Pedro,CA,90731,949000,4,3.0,181 - Point Fermin,3498,6402,1989,647,271,,Sold,,,http://www.redfin.com/CA/San-Pedro/527-W-36th-St-90731/home/7696655,CRMLS,SB18066831,N,Y,33.7112414,-118.2886108
PAST SALE,November-28-2018,Single Family Residential,796 W 38th St,San Pedro,CA,90731,1250000,3,3.0,181 - Point Fermin,2244,6338,1908,436,557,,Sold,,,http://www.redfin.com/CA/San-Pedro/796-W-38th-St-90731/home/7696600,CRMLS,SB18244320,N,Y,33.7098267,-118.2926072
PAST SALE,February-28-2018,Single Family Residential,1606 W 22nd St,San Pedro,CA,90732,852000,4,1.75,179 - South Shores,1735,5849,1963,709,491,,Sold,,,http://www.redfin.com/CA/San-Pedro/1606-W-22nd-St-90732/home/7736855,CRMLS,SB18006980,N,Y,33.7250528,-118.3117883
PAST SALE,May-22-2018,Single Family Residential,2212 S Moray Ave,San Pedro,CA,90732,875000,3,2.0,179 - South Shores,1698,6342,1955,626,515,,Sold,,,http://www.redfin.com/CA/San-Pedro/2212-S-Moray-Ave-90732/home/7736876,CRMLS,PV18074384,N,Y,33.7249013,-118.313204
PAST SALE,April-13-2018,Single Family Residential,2183 Baleria Dr,San Pedro,CA,90732,877715,3,2.0,179 - South Shores,1910,6803,1961,665,460,,Sold,,,http://www.redfin.com/CA/San-Pedro/2183-Baleria-Dr-90732/home/7737034,CRMLS,PV18053832,N,Y,33.7274368,-118.3233417
PAST SALE,September-21-2018,Single Family Residential,914 S Malgren Ave,San Pedro,CA,90732,805000,3,1.75,183 - Vista Del Oro,1505,6301,1950,504,535,,Sold,,,http://www.redfin.com/CA/San-Pedro/914-S-Malgren-Ave-90732/home/7735715,CRMLS,PV18170718,N,Y,33.7357242,-118.3145929
PAST SALE,July-18-2018,Single Family Residential,1915 W 35th St,San Pedro,CA,90732,1150000,3,2.0,179 - South Shores,2017,6689,1957,569,570,,Sold,,,http://www.redfin.com/CA/San-Pedro/1915-W-35th-St-90732/home/7737679,CRMLS,PV18139903,N,Y,33.7204301,-118.3201223
PAST SALE,August-3-2019,Single Family Residential,1478 W Paseo Del Mar,San Pedro,CA,90731,875000,3,1.0,180 - Palisades,951,6647,1944,188,920,,Sold,,,http://www.redfin.com/CA/San-Pedro/1478-W-Paseo-Del-Mar-90731/home/7698392,CRMLS,SB19112518,N,Y,33.7148014,-118.310875
PAST SALE,,Single Family Residential,2221 Warmouth St,San Pedro,CA,90732,3125000,4,4.0,,3483,13154,1960,,897,,,,,http://www.redfin.com/CA/San-Pedro/2221-Warmouth-St-90732/home/7737891,,,N,Y,33.719959,-118.32633
PAST SALE,December-6-2018,Single Family Residential,310 Dave,San Pedro,CA,90732,910000,3,2.5,186 - Miraleste Pines,2110,4996,1974,428,431,,Sold,,,http://www.redfin.com/CA/San-Pedro/310-Dave-Dr-90732/home/7735189,CRMLS,PV18234775,N,Y,33.7414595,-118.311834
PAST SALE,February-27-2018,Single Family Residential,1509 S Dodson Ave,San Pedro,CA,90732,850000,3,2.5,183 - Vista Del Oro,1919,6751,1950,710,443,,Sold,,,http://www.redfin.com/CA/San-Pedro/1509-S-Dodson-Ave-90732/home/7735782,CRMLS,SB17241065,N,Y,33.7303814,-118.3121537
PAST SALE,October-26-2018,Single Family Residential,1079 Via La Paz,San Pedro,CA,90732,810000,4,2.25,193 - San Pedro - North,2196,11280,1978,469,369,,Sold,,,http://www.redfin.com/CA/San-Pedro/1079-Via-La-Paz-90732/home/7686443,CRMLS,SB18226015,N,Y,33.7558209,-118.299846
