SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-31-2018,Townhouse,1004 S Averill Ave,San Pedro,CA,90732,689000,4,2.0,183 - Vista Del Oro,1588,8287,1930,464,434,,Sold,,,http://www.redfin.com/CA/San-Pedro/1004-S-Averill-Ave-90732/home/7692841,CRMLS,SB18222572,N,Y,33.7352135,-118.3075519
PAST SALE,May-14-2019,Townhouse,818 W 6th St,San Pedro,CA,90731,435000,2,2.5,187 - Holy Trinity,1228,4986,1981,269,354,100,Sold,,,http://www.redfin.com/CA/San-Pedro/818-W-6th-St-90731/home/7689167,CRMLS,SB19080347,N,Y,33.7389254,-118.295171
PAST SALE,June-5-2018,Townhouse,1271 W 9th St,San Pedro,CA,90731,796550,6,3.0,183 - Vista Del Oro,2616,6752,1935,612,304,,Sold,,,http://www.redfin.com/CA/San-Pedro/1271-W-9th-St-90731/home/7692999,CRMLS,SB18064456,N,Y,33.7358916,-118.3048892
PAST SALE,July-2-2018,Townhouse,783 Gatun St #208,San Pedro,CA,90731,687000,3,2.5,193 - San Pedro - North,1958,15648,2013,585,351,132,Sold,,,http://www.redfin.com/CA/San-Pedro/783-Gatun-St-90731/unit-208/home/51587271,CRMLS,SB18110951,N,Y,33.757023056959945,-118.29502596573883
PAST SALE,March-16-2018,Townhouse,515 N Cabrillo Ave,San Pedro,CA,90731,595000,4,3.0,187 - Holy Trinity,1938,4137,1924,693,307,,Sold,,,http://www.redfin.com/CA/San-Pedro/515-N-Cabrillo-Ave-90731/home/7687666,CRMLS,SB17197364,N,Y,33.7479568,-118.2950734
PAST SALE,May-15-2018,Townhouse,134 N Cabrillo Ave,San Pedro,CA,90731,700000,6,3.0,187 - Holy Trinity,2292,6501,1954,633,305,,Sold,,,http://www.redfin.com/CA/San-Pedro/134-N-Cabrillo-Ave-90731/home/7688609,CRMLS,SB18051770,N,Y,33.7439176,-118.2942057
PAST SALE,July-17-2018,Townhouse,814 S Patton Ave #1,San Pedro,CA,90731,579000,3,2.5,183 - Vista Del Oro,1763,6751,1991,570,328,251,Sold,,,http://www.redfin.com/CA/San-Pedro/814-S-Patton-Ave-90731/unit-1/home/7692987,CRMLS,SB18093346,N,Y,33.7366905,-118.3052355
PAST SALE,February-12-2018,Townhouse,1921 S Crescent Ave,San Pedro,CA,90731,550000,2,2.0,185 - Plaza,1232,4532,1952,725,446,,Sold,,,http://www.redfin.com/CA/San-Pedro/1921-S-Crescent-Ave-90731/home/7691649,CRMLS,PW17236070,N,Y,33.7265834,-118.284681
PAST SALE,,Condo/Co-op,921 W 18th St Unit D,San Pedro,CA,90731,485000,2,3.0,,1273,,1986,,381,,,,,http://www.redfin.com/CA/San-Pedro/921-W-18th-St-90731/unit-D/home/7694493,,,N,Y,33.7276629,-118.2973946
PAST SALE,May-21-2018,Townhouse,668 W 40th St #4,San Pedro,CA,90731,535000,2,2.5,181 - Point Fermin,1529,6029,1990,627,350,180,Sold,,,http://www.redfin.com/CA/San-Pedro/668-W-40th-St-90731/unit-4/home/7696804,CRMLS,SB18065091,N,Y,33.708121,-118.2913405
