SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-21-2018,Condo/Co-op,24450 Ward St,Torrance,CA,90505,739000,3,1.75,125 - Walteria,1427,4892,1981,534,518,200,Sold,,,http://www.redfin.com/CA/Torrance/24450-Ward-St-90505/unit-2A/home/145548912,CRMLS,SB18098219,N,Y,33.8001002,-118.3487327
PAST SALE,January-31-2020,Condo/Co-op,23037 Nadine Cir #535,Torrance,CA,90505,522000,2,1.5,127 - South East Torrance - West,967,,1963,6,540,374,Sold,,,http://www.redfin.com/CA/Torrance/23037-Nadine-Cir-90505/unit-535/home/7658690,CRMLS,SB20000694,N,Y,33.8201027,-118.343759
PAST SALE,January-17-2020,Condo/Co-op,16609 Yukon Ave #115,Torrance,CA,90504,735000,3,2.5,North Torrance West,1579,37843,2004,20,465,160,Sold,,,http://www.redfin.com/CA/Torrance/16609-Yukon-Ave-90504/unit-115/home/169974191,TheMLS,19-534578,N,Y,33.879557,-118.335557
PAST SALE,November-12-2019,Condo/Co-op,2555 Plaza Del Amo Unit L,Torrance,CA,90503,745000,2,3.0,126 - Central Torrance,1834,129250,1984,86,406,380,Sold,,,http://www.redfin.com/CA/Torrance/2555-Plaza-del-Amo-90503/unit-L/home/7653567,CRMLS,PW19220589,N,Y,33.827845,-118.330227
PAST SALE,December-12-2019,Condo/Co-op,22877 Nadine Cir Unit A,Torrance,CA,90505,540000,2,2.0,127 - South East Torrance - West,1117,326324,1963,56,483,374,Sold,,,http://www.redfin.com/CA/Torrance/22877-Nadine-Cir-90505/unit-A/home/7658601,CRMLS,PW19238579,N,Y,33.8201027,-118.343759
PAST SALE,,Condo/Co-op,201 Calle Miramar #13,Redondo Beach,CA,90277,1450000,2,2.0,,1539,,1962,,942,,,,,http://www.redfin.com/CA/Redondo-Beach/201-Calle-Miramar-90277/unit-13/home/7707342,,,N,Y,33.8147016,-118.3897414
PAST SALE,April-6-2018,Condo/Co-op,22817 S Van Deene Ave #3,Torrance,CA,90502,615000,3,2.5,123 - County Strip,2049,27174,1999,671,300,102,Sold,,,http://www.redfin.com/CA/Torrance/22817-S-Van-Deene-Ave-90502/unit-3/home/8092902,CRMLS,RS18039367,N,Y,33.818529,-118.289914
PAST SALE,August-22-2018,Condo/Co-op,3425 Artesia Blvd #4,Torrance,CA,90504,550000,2,3.0,132 - N Torrance - West,1400,47286,1980,533,393,320,Sold,,,http://www.redfin.com/CA/Torrance/3425-Artesia-Blvd-90504/unit-4/home/6587924,CRMLS,SB18079119,N,Y,33.8735054,-118.3330046
PAST SALE,,Condo/Co-op,1222 Ivy Ter,Torrance,CA,90502,610000,3,3.0,,1822,,2005,,335,,,,,http://www.redfin.com/CA/Torrance/1222-Ivy-Ter-90502/home/8151538,,,N,Y,33.8393563,-118.2979329
PAST SALE,,Condo/Co-op,1617 Arlington Ave,Torrance,CA,90501,1900000,5,5.0,,,,1923,,,,,,,http://www.redfin.com/CA/Torrance/1617-Arlington-Ave-90501/home/7651436,,,N,Y,33.8321441,-118.3182488
PAST SALE,January-31-2019,Condo/Co-op,3538 Torrance Blvd #130,Torrance,CA,90503,810000,3,3.0,126 - Central Torrance,1761,26578,2005,371,460,290,Sold,,,http://www.redfin.com/CA/Torrance/3538-Torrance-Blvd-90503/unit-130/home/8150895,CRMLS,SB18246340,N,Y,33.8372581,-118.3472437
PAST SALE,February-28-2019,Condo/Co-op,24001 Neece Ave #13,Torrance,CA,90505,532000,2,2.0,129 - South Torrance,1173,26478,1980,343,454,375,Sold,,,http://www.redfin.com/CA/Torrance/24001-Neece-Ave-90505/unit-13/home/7664346,CRMLS,PW18295865,N,Y,33.8063409,-118.3525382
PAST SALE,February-28-2019,Condo/Co-op,3412 Del Amo Unit S6,Torrance,CA,90503,587500,2,2.5,Central Torrance,1150,141979,1974,343,511,360,Sold,,,http://www.redfin.com/CA/Torrance/3412-Del-Amo-Blvd-90503/unit-S6/home/7716308,TheMLS,19-423334,N,Y,33.8481496,-118.3465937
PAST SALE,,Condo/Co-op,3614 Del Amo Blvd #5,Torrance,CA,90503,2200000,12,12.0,,,,1969,,,,,,,http://www.redfin.com/CA/Torrance/3614-Del-Amo-Blvd-90503/unit-5/home/7716370,,,N,Y,33.8482673,-118.3499464
PAST SALE,April-10-2019,Condo/Co-op,16700 Yukon Ave #123,Torrance,CA,90504,520000,3,2.0,132 - N Torrance - West,1224,58769,1988,302,425,330,Sold,,,http://www.redfin.com/CA/Torrance/16700-Yukon-Ave-90504/unit-123/home/6586056,CRMLS,SB19038463,N,Y,33.8790581,-118.3346499
