SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-8-2018,Mobile/Manufactured Home,2436 LOMITA #14,Lomita,CA,90717,67500,2,2.0,121 - Lomita,960,,1973,455,70,,Sold,,,http://www.redfin.com/CA/Lomita/2436-Lomita-Blvd-90717/unit-14/home/104201205,CRMLS,SB18104106,N,Y,33.804584,-118.326531
PAST SALE,October-1-2018,Mobile/Manufactured Home,2550 Pacific Coast Hwy #21,Torrance,CA,90505,180000,2,1.75,125 - Walteria,1050,,1992,493,171,,Sold,,,http://www.redfin.com/CA/Torrance/2550-Pacific-Coast-Hwy-90505/unit-21/home/88383822,CRMLS,SB18067702,N,Y,33.790839,-118.3316669
PAST SALE,,Vacant Land,,ROLLING HILLS EST,CA,,3282500,,,,,5281,,,,,,,,http://www.redfin.com/CA/ROLLING-HILLS-EST/Unknown-Unknown/home/167740380,,,N,Y,33.780373,-118.331273
PAST SALE,April-15-2019,Multi-Family (2-4 Unit),25203 Weston Rd,Torrance,CA,90505,1050000,5,4.0,125 - Walteria,2089,5364,1952,297,503,,Sold,,,http://www.redfin.com/CA/Torrance/25203-Weston-Rd-90505/home/7721294,CRMLS,SB19032344,N,Y,33.7958979,-118.339611
PAST SALE,March-17-2018,Mobile/Manufactured Home,2550 Pacific Coast HY #225,Torrance,CA,90505,195000,2,1.75,125 - Walteria,1464,,1971,691,133,,Sold,,,http://www.redfin.com/CA/Torrance/2550-Pacific-Coast-Hwy-90505/unit-225/home/143851102,CRMLS,SB17218407,N,Y,33.7887271,-118.3298482
PAST SALE,May-16-2018,Mobile/Manufactured Home,2550 Pacific Coast HY #201,Torrance,CA,90505,225000,2,2.0,125 - Walteria,1664,,1971,631,135,,Sold,,,http://www.redfin.com/CA/Torrance/2550-Pacific-Coast-Hwy-90505/unit-201/home/143515605,CRMLS,SB17201037,N,Y,33.7887271,-118.3298482
PAST SALE,July-13-2018,Mobile/Manufactured Home,2550 Pacific Coast Hwy #1,Torrance,CA,90505,239975,3,1.75,699 - Not Defined,1104,,2017,573,217,,Sold,,,http://www.redfin.com/CA/Torrance/2550-Pacific-Coast-Hwy-90505/unit-1/home/142918008,CRMLS,PW18094984,N,Y,33.7876355,-118.3304879
PAST SALE,November-29-2018,Mobile/Manufactured Home,23701 Western #13,Torrance,CA,90501,10000,1,1.0,699 - Not Defined,540,,1965,434,19,,Sold,,,http://www.redfin.com/CA/Torrance/23701-S-Western-Ave-90501/unit-13/home/147309363,CRMLS,OC18237130,N,Y,33.8099124,-118.3102392
PAST SALE,October-3-2018,Mobile/Manufactured Home,23701 Western Ave #70,Torrance,CA,90501,35000,2,2.0,127 - South East Torrance - West,,,1974,491,,,Sold,,,http://www.redfin.com/CA/Torrance/23701-S-Western-Ave-90501/unit-70/home/144092126,CRMLS,DW18161333,N,Y,33.8099124,-118.3102392
PAST SALE,September-10-2019,Multi-Family (2-4 Unit),2434 247th St,Lomita,CA,90717,758000,4,2.0,121 - Lomita,1573,4268,1958,149,482,,Sold,,,http://www.redfin.com/CA/Lomita/2434-247th-St-90717/home/7663559,CRMLS,SB19181502,N,Y,33.800384,-118.3266549
PAST SALE,January-29-2020,Multi-Family (2-4 Unit),3419 W 190th St,Torrance,CA,90504,1037000,7,4.0,132 - N Torrance - West,2875,4997,1951,8,361,,Sold,,,http://www.redfin.com/CA/Torrance/3419-W-190th-St-90504/home/6584142,CRMLS,SB19105564,N,Y,33.8585931,-118.3319789
PAST SALE,February-15-2019,Mobile/Manufactured Home,17705 western #94,Gardena,CA,90248,26000,2,2.0,699 - Not Defined,1120,,1976,356,23,,Sold,,,http://www.redfin.com/CA/Torrance/17705-S-Western-Ave-90504/unit-94/home/40081195,CRMLS,OC19011278,N,Y,33.8698388,-118.3116071
PAST SALE,November-6-2018,Mobile/Manufactured Home,18801 Hawthorne Blvd #52,Torrance,CA,90504,39000,1,1.0,132 - N Torrance - West,600,,1960,457,65,,Sold,,,http://www.redfin.com/CA/Torrance/18801-Hawthorne-Blvd-90504/unit-52/home/147974552,CRMLS,SB18261645,N,Y,33.8603452,-118.3538284
PAST SALE,September-20-2018,Mobile/Manufactured Home,18801 Hawthorne Blvd #68,Torrance,CA,90504,76000,2,1.0,132 - N Torrance - West,880,,1979,504,86,,Sold,,,http://www.redfin.com/CA/Torrance/18801-Hawthorne-Blvd-90504/unit-68/home/146421008,CRMLS,PV18178619,N,Y,33.8603452,-118.3538284
PAST SALE,April-18-2018,Mobile/Manufactured Home,18801 Hawthorne #18,Torrance,CA,90504,70000,2,1.0,131 - West Torrance,,,1967,659,,,Sold,,,http://www.redfin.com/CA/Torrance/18801-Hawthorne-Blvd-90504/unit-18/home/109086590,CRMLS,SB18032920,N,Y,33.8603452,-118.3538284
PAST SALE,December-18-2019,Mobile/Manufactured Home,18801 Hawthorne Blvd #60,Torrance,CA,90504,89000,2,1.75,132 - N Torrance - West,880,,1970,50,101,,Sold,,,http://www.redfin.com/CA/Torrance/18801-Hawthorne-Blvd-90504/unit-60/home/167379419,CRMLS,CV19166201,N,Y,33.8603452,-118.3538284
PAST SALE,January-24-2020,Mobile/Manufactured Home,17100 Gramercy Pl #42,Gardena,CA,90247,145000,1,1.0,119 - Central Gardena,500,,1966,13,290,,Sold,,,http://www.redfin.com/CA/Gardena/17100-Gramercy-Pl-90247/unit-42/home/49737304,CRMLS,SB20004103,N,Y,33.874619,-118.312906
PAST SALE,September-12-2018,Mobile/Manufactured Home,2345 190th #48,Redondo Beach,CA,90278,65000,1,1.0,153 - N Redondo Bch/El Nido,450,,1957,512,144,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2345-190th-St-90278/unit-48/home/113428166,CRMLS,SB18171502,N,Y,33.8591994,-118.3682935
PAST SALE,July-6-2018,Mobile/Manufactured Home,2345 190th #74,Redondo Beach,CA,90278,62000,1,1.0,699 - Not Defined,,,1969,580,,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2345-190th-St-90278/unit-74/home/144482452,CRMLS,SB18078119,N,Y,33.8591994,-118.3682935
PAST SALE,May-4-2018,Mobile/Manufactured Home,2345 190th #70,Redondo Beach,CA,90278,75000,1,1.0,153 - N Redondo Bch/El Nido,516,,2017,643,145,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2345-190th-St-90278/unit-70/home/144672013,CRMLS,SB18008427,N,Y,33.8591994,-118.3682935
PAST SALE,May-1-2018,Mobile/Manufactured Home,2345 190th St #1,Redondo Beach,CA,90278,133500,2,1.75,153 - N Redondo Bch/El Nido,,,1990,646,,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2345-190th-St-90278/unit-1/home/143337635,CRMLS,SB17192397,N,Y,33.8591994,-118.3682935
PAST SALE,May-8-2019,Mobile/Manufactured Home,2345 190th #60,Redondo Beach,CA,90278,65000,2,1.0,153 - N Redondo Bch/El Nido,,,1957,274,,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2345-190th-St-90278/unit-60/home/101690971,CRMLS,SB19041162,N,Y,33.8592117,-118.3682787
PAST SALE,June-18-2019,Mobile/Manufactured Home,2345 190th #27,Redondo Beach,CA,90278,69000,1,1.0,153 - N Redondo Bch/El Nido,370,,1959,233,186,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2345-W-190th-St-90278/unit-27/home/22126057,CRMLS,SB19024291,N,Y,33.8587818,-118.3682809
PAST SALE,July-1-2019,Multi-Family (2-4 Unit),3548 W 168th St,Torrance,CA,90504,915000,4,3.0,132 - N Torrance - West,1993,6201,1954,220,459,,Sold,,,http://www.redfin.com/CA/Torrance/3548-168th-St-90504/home/6586781,CRMLS,SB19062811,N,Y,33.8778181,-118.3346431
PAST SALE,November-8-2019,Multi-Family (2-4 Unit),16825 Crenshaw Blvd,Torrance,CA,90504,1250000,0,,Torrance,,5220,1954,90,,,Sold,,,http://www.redfin.com/CA/Torrance/16825-Crenshaw-Blvd-90504/home/6586617,SDMLS,301757412,N,Y,33.8772671,-118.3268121
PAST SALE,November-14-2019,Multi-Family (2-4 Unit),20627 Kenwood Ave,Torrance,CA,90502,625000,10,8.0,122 - Harbor Gateway,2848,8978,1922,84,219,,Sold,,,http://www.redfin.com/CA/Torrance/20627-Kenwood-Ave-90502/home/7649262,CRMLS,SB19240685,N,Y,33.842996,-118.2976767
PAST SALE,,Multi-Family (2-4 Unit),20712 Budlong Ave,Torrance,CA,90502,750000,3,1.0,,1064,6151,1959,,705,,,,,http://www.redfin.com/CA/Torrance/20712-Budlong-Ave-90502/home/7649135,,,N,Y,33.842561,-118.294645
PAST SALE,December-6-2019,Multi-Family (5+ Unit),815 Sartori Ave,Torrance,CA,90501,1450000,6,6.0,134 - Old Torrance,3696,8400,1952,62,392,,Sold,,,http://www.redfin.com/CA/Torrance/815-Sartori-Ave-90501/unit-A/home/7650969,CRMLS,SB19188923,N,Y,33.8382277,-118.3195515
PAST SALE,January-17-2020,Multi-Family (2-4 Unit),1412 Beech Ave,Torrance,CA,90501,877500,3,2.0,134 - Old Torrance,1531,6146,1927,20,573,,Sold,,,http://www.redfin.com/CA/Torrance/1412-Beech-Ave-90501/home/7651284,CRMLS,SB19260028,N,Y,33.8340466,-118.3269947
PAST SALE,August-23-2019,Mobile/Manufactured Home,21926 Vermont Ave #49,Torrance,CA,90502,28500,2,1.25,133 - N Torrance - East,672,,1969,167,42,,Sold,,,http://www.redfin.com/CA/Torrance/21926-S-Vermont-Ave-90502/unit-49/home/167091226,CRMLS,PW19140321,N,Y,33.8284921,-118.2891987
PAST SALE,September-11-2019,Mobile/Manufactured Home,21926 S Vermont Ave #26,Torrance,CA,90502,50000,1,1.0,123 - County Strip,480,,1973,148,104,,Sold,,,http://www.redfin.com/CA/Torrance/21926-S-Vermont-Ave-90502/unit-26/home/147712049,CRMLS,PW19036458,N,Y,33.8288641,-118.2899306
PAST SALE,November-18-2019,Mobile/Manufactured Home,715 W 220th St #39,Torrance,CA,90502,30000,1,1.0,699 - Not Defined,,,1982,80,,,Sold,,,http://www.redfin.com/CA/Torrance/715-W-220th-St-90502/unit-39/home/169286183,CRMLS,OC19235767,N,Y,33.8284481,-118.2881343
PAST SALE,October-4-2019,Multi-Family (2-4 Unit),1521 W 218th St,Torrance,CA,90501,910000,9,5.0,122 - Harbor Gateway,3804,10801,1972,125,239,,Sold,,,http://www.redfin.com/CA/Torrance/1521-W-218th-St-90501/home/7646211,CRMLS,SB19210010,N,Y,33.8305084,-118.3046642
PAST SALE,July-24-2018,Multi-Family (5+ Unit),1444 W 224th St,Torrance,CA,90501,910000,10,5.0,122 - Harbor Gateway,4200,9000,1958,562,217,,Sold,,,http://www.redfin.com/CA/Torrance/1444-W-224th-St-90501/home/7646941,CRMLS,PW18055473,N,Y,33.823023,-118.3031571
PAST SALE,December-23-2019,Multi-Family (2-4 Unit),1432 Plaza Del Amo,Torrance,CA,90501,920000,8,4.0,122 - Harbor Gateway,3256,5518,1959,45,283,,Sold,,,http://www.redfin.com/CA/Torrance/1432-Plaza-del-Amo-90501/home/7647168,CRMLS,SB19207851,N,Y,33.8243471,-118.3027118
PAST SALE,,Multi-Family (2-4 Unit),2871 W Carson St,Torrance,CA,90503,1165000,4,6.0,,4111,6765,1971,,283,,,,,http://www.redfin.com/CA/Torrance/2871-W-Carson-St-90503/home/7656006,,,N,Y,33.83149,-118.337888
PAST SALE,July-12-2019,Multi-Family (2-4 Unit),3825 Artesia Blvd,Torrance,CA,90504,976500,6,3.0,132 - N Torrance - West,2489,6248,1956,209,392,,Sold,,,http://www.redfin.com/CA/Torrance/3825-Artesia-Blvd-90504/unit-B/home/6579161,CRMLS,SB19133479,N,Y,33.8731503,-118.340419
PAST SALE,June-22-2019,Mobile/Manufactured Home,17705 S Western Ave #118,Gardena,CA,90248,27000,2,2.0,120 - South Gardena,1040,,1997,229,26,,Sold,,,http://www.redfin.com/CA/Gardena/17705-S-Western-Ave-90248/unit-118/home/143198809,CRMLS,SB19063105,N,Y,33.870277,-118.309334
PAST SALE,July-17-2019,Mobile/Manufactured Home,17705 Western Ave #115,Torrance,CA,90248,32000,2,1.0,135 - South East Torrance - East,1000,,1965,204,32,,Sold,,,http://www.redfin.com/CA/Gardena/17705-S-Western-Ave-90248/unit-115/home/166698741,CRMLS,SB19114074,N,Y,33.8698388,-118.3116071
PAST SALE,May-21-2019,Multi-Family (5+ Unit),21013 Reynolds Dr,Torrance,CA,90503,2930000,8,8.0,131 - West Torrance,4350,6900,1961,261,674,,Sold,,,http://www.redfin.com/CA/Torrance/21013-Reynolds-Dr-90503/home/7713047,CRMLS,SB19067172,N,Y,33.8391265,-118.3643027
