SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-11-2018,Single Family Residential,728 Border Ave,Torrance,CA,90501,700000,2,2.0,134 - Old Torrance,876,3000,1924,605,799,,Sold,,,http://www.redfin.com/CA/Torrance/728-Border-Ave-90501/home/7650651,CRMLS,SB18112684,N,Y,33.840136,-118.3191748
PAST SALE,October-25-2019,Single Family Residential,21129 La Salle Ave,Torrance,CA,90501,590000,2,1.0,122 - Harbor Gateway,899,8500,1949,104,656,,Sold,,,http://www.redfin.com/CA/Torrance/21129-La-Salle-Ave-90501/home/7648166,CRMLS,SB19210449,N,Y,33.837373,-118.3054405
PAST SALE,,Single Family Residential,5321 Linda Dr,Torrance,CA,90505,2150000,2,1.0,,1705,10191,1948,,1261,,,,,http://www.redfin.com/CA/Torrance/5321-Linda-Dr-90505/home/7710209,,,N,Y,33.8173651,-118.3705514
PAST SALE,April-12-2019,Single Family Residential,214 Paseo De Suenos,Redondo Beach,CA,90277,2965000,2,2.5,128 - Hollywood Riviera,3220,7242,2004,300,921,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/214-Pso-De-Suenos-90277/home/7707542,CRMLS,SB19037044,N,Y,33.8092451,-118.3892828
PAST SALE,June-8-2018,Single Family Residential,21314 Evalyn Ave,Torrance,CA,90503,980000,2,2.0,130 - Southwood,1140,5325,1955,608,860,,Sold,,,http://www.redfin.com/CA/Torrance/21314-Evalyn-Ave-90503/home/7710924,CRMLS,SB18072368,N,Y,33.8354018,-118.3630238
PAST SALE,,Single Family Residential,5238 Bindewald Rd,Torrance,CA,90505,700000,2,1.0,,987,6180,1949,,709,,,,,http://www.redfin.com/CA/Torrance/5238-Bindewald-Rd-90505/home/7718878,,,N,Y,33.8170872,-118.3681319
PAST SALE,July-12-2018,Single Family Residential,736 W 219th St,Torrance,CA,90502,420000,2,1.0,123 - County Strip,820,4235,1953,574,512,,Sold,,,http://www.redfin.com/CA/Torrance/736-W-219th-St-90502/home/7644072,CRMLS,SB18098713,N,Y,33.8290667,-118.2886679
PAST SALE,April-11-2019,Single Family Residential,1603 W 221st St,Torrance,CA,90501,560000,2,1.0,122 - Harbor Gateway,828,9000,1939,301,676,,Sold,,,http://www.redfin.com/CA/Torrance/1603-W-221st-St-90501/home/7646480,CRMLS,SB19025401,N,Y,33.8269827,-118.3065822
PAST SALE,January-4-2019,Single Family Residential,1446 W 216th St,Torrance,CA,90501,539000,2,1.0,122 - Harbor Gateway,868,6005,1945,398,621,,Sold,,,http://www.redfin.com/CA/Torrance/1446-W-216th-St-90501/home/7648697,CRMLS,SB18214759,N,Y,33.8323448,-118.3032484
PAST SALE,March-26-2019,Single Family Residential,1622 Acacia Ave,Torrance,CA,90501,745000,2,1.0,134 - Old Torrance,1067,5600,1929,317,698,,Sold,,,http://www.redfin.com/CA/Torrance/1622-Acacia-Ave-90501/home/7651351,CRMLS,SB19023101,N,Y,33.8322808,-118.3260358
PAST SALE,November-27-2018,Single Family Residential,1309 W 221st St,Torrance,CA,90501,535000,2,1.0,122 - Harbor Gateway,818,5140,1952,436,654,,Sold,,,http://www.redfin.com/CA/Torrance/1309-W-221st-St-90501/home/7646573,CRMLS,SB18248114,N,Y,33.8270503,-118.2998689
PAST SALE,January-15-2019,Single Family Residential,904 Portola Ave,Torrance,CA,90501,639000,2,1.0,134 - Old Torrance,926,4661,1922,387,690,,Sold,,,http://www.redfin.com/CA/Torrance/904-Portola-Ave-90501/home/7650710,CRMLS,SB18289545,N,Y,33.838557,-118.3212868
PAST SALE,May-24-2018,Single Family Residential,931 Arlington Ave,Torrance,CA,90501,620000,2,1.0,134 - Old Torrance,718,2182,1919,623,864,,Sold,,,http://www.redfin.com/CA/Torrance/931-Arlington-Ave-90501/home/7650702,CRMLS,PW18094121,N,Y,33.8380907,-118.3207046
PAST SALE,July-24-2018,Single Family Residential,3115 Via La Selva,Palos Verdes Estates,CA,90274,1462500,2,1.75,164 - Valmonte,1523,6339,1951,562,960,,Sold,,,http://www.redfin.com/CA/Palos-Verdes-Estates/3115-Via-La-Selva-90274/home/7722937,CRMLS,PV18136535,N,Y,33.8039504,-118.3774674
PAST SALE,March-29-2019,Single Family Residential,21140 S Hobart Blvd,Torrance,CA,90501,529000,2,1.0,122 - Harbor Gateway,1168,7507,1946,314,453,,Sold,,,http://www.redfin.com/CA/Torrance/21140-Hobart-Blvd-90501/home/7648205,CRMLS,SB19015408,N,Y,33.8374435,-118.3072102
PAST SALE,January-15-2019,Single Family Residential,1669 W 213th St,Torrance,CA,90501,500000,2,1.0,122 - Harbor Gateway,1163,7000,1944,387,430,,Sold,,,http://www.redfin.com/CA/Torrance/1669-W-213th-St-90501/home/7648251,CRMLS,SB18273233,N,Y,33.8356424,-118.3083633
PAST SALE,March-8-2018,Single Family Residential,2715 El Dorado St,Torrance,CA,90503,735000,2,1.5,126 - Central Torrance,1446,7518,1953,700,508,,Sold,,,http://www.redfin.com/CA/Torrance/2715-El-Dorado-St-90503/home/7656261,CRMLS,RS18018952,N,Y,33.83456,-118.3341974
