SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-12-2019,Single Family Residential,2511 W 166th Pl,Torrance,CA,90504,840000,4,2.0,132 - N Torrance - West,1609,7255,1955,86,522,,Sold,,,http://www.redfin.com/CA/Torrance/2511-W-166th-Pl-90504/home/6588063,CRMLS,SB19229469,N,Y,33.8793271,-118.3216064
PAST SALE,January-18-2019,Single Family Residential,18429 Delia Ave,Torrance,CA,90504,799000,4,2.0,132 - N Torrance - West,1459,5416,1953,384,548,,Sold,,,http://www.redfin.com/CA/Torrance/18429-Delia-Ave-90504/home/6583149,CRMLS,SB18267903,N,Y,33.8630174,-118.3285016
PAST SALE,March-30-2018,Single Family Residential,1224 W 222nd St,Torrance,CA,90502,630000,4,2.5,123 - County Strip,1573,3284,1970,678,401,,Sold,,,http://www.redfin.com/CA/Torrance/1224-W-222nd-St-90502/home/7644404,CRMLS,SB18040303,N,Y,33.8257225,-118.297631
PAST SALE,June-21-2018,Single Family Residential,4216 W 179th,Torrance,CA,90504,732000,4,1.75,132 - N Torrance - West,1620,5600,1958,595,452,,Sold,,,http://www.redfin.com/CA/Torrance/4216-179th-St-90504/home/6574593,CRMLS,SB18112542,N,Y,33.8678728,-118.3487973
PAST SALE,August-21-2018,Single Family Residential,18721 Yukon Ave,Torrance,CA,90504,750000,4,2.0,,1280,5720,1954,534,586,,Sold,,,http://www.redfin.com/CA/Torrance/18721-Yukon-Ave-90504/home/6582008,SDMLS,180035091,N,Y,33.860175,-118.3353965
PAST SALE,October-29-2018,Single Family Residential,4765 W 191st St,Torrance,CA,90503,855000,4,2.0,131 - West Torrance,1947,6907,1954,465,439,,Sold,,,http://www.redfin.com/CA/Torrance/4765-191st-St-90503/home/7714432,CRMLS,OC18263910,N,Y,33.8579494,-118.3606905
PAST SALE,March-27-2019,Single Family Residential,18931 Haas Ave,Torrance,CA,90504,750000,4,3.0,133 - N Torrance - East,1472,6073,1951,316,510,,Sold,,,http://www.redfin.com/CA/Torrance/18931-Haas-Ave-90504/home/6584275,CRMLS,SB19026253,N,Y,33.8585856,-118.3171769
PAST SALE,August-27-2019,Single Family Residential,2056 W 171st St,Torrance,CA,90504,800000,4,1.75,133 - N Torrance - East,1825,6609,1965,163,438,,Sold,,,http://www.redfin.com/CA/Torrance/2056-W-171st-St-90504/home/6590431,CRMLS,SB19148130,N,Y,33.8749037,-118.315396
PAST SALE,December-19-2019,Single Family Residential,2313 W 183rd St,Torrance,CA,90504,770000,4,1.75,133 - N Torrance - East,1571,7733,1956,49,490,,Sold,,,http://www.redfin.com/CA/Torrance/2313-183rd-St-90504/home/6591768,CRMLS,SB19254552,N,Y,33.8649683,-118.3192319
PAST SALE,June-5-2019,Single Family Residential,1329 Arlington Ave,Torrance,CA,90501,850000,4,2.25,134 - Old Torrance,2191,5243,1940,246,388,,Sold,,,http://www.redfin.com/CA/Torrance/1329-Arlington-Ave-90501/home/7651155,CRMLS,RS19070484,N,Y,33.8346438,-118.3207388
PAST SALE,April-23-2018,Single Family Residential,1004 Beech Ave,Torrance,CA,90501,900000,4,2.75,134 - Old Torrance,2375,5551,1937,654,379,,Sold,,,http://www.redfin.com/CA/Torrance/1004-Beech-Ave-90501/home/7650872,CRMLS,SB17255043,N,Y,33.8377588,-118.327223
PAST SALE,August-27-2019,Single Family Residential,20906 Conradi Ave,Torrance,CA,90502,650000,4,2.0,123 - County Strip,1428,6989,1957,163,455,,Sold,,,http://www.redfin.com/CA/Torrance/20906-Conradi-Ave-90502/home/7647363,CRMLS,SB19167345,N,Y,33.8403946,-118.2883139
PAST SALE,November-11-2019,Single Family Residential,21125 S Normandie Ave,Torrance,CA,90501,886990,4,3.0,122 - Harbor Gateway,2055,4560,2018,87,432,139,Sold,,,http://www.redfin.com/CA/Torrance/21125-Normandie-Ave-90501/home/110088516,CRMLS,SW18212030,N,Y,33.8372172,-118.2994025
PAST SALE,November-15-2019,Single Family Residential,1451 Post Ave,Torrance,CA,90501,829000,4,1.75,134 - Old Torrance,1670,6998,1918,83,496,,Sold,,,http://www.redfin.com/CA/Torrance/1451-Post-Ave-90501/home/7651505,CRMLS,SB19225009,N,Y,33.834012,-118.3197342
PAST SALE,October-2-2019,Single Family Residential,1203 TERI Ave,Torrance,CA,90503,817000,4,3.0,126 - Central Torrance,1780,5610,1951,127,459,,Sold,,,http://www.redfin.com/CA/Torrance/1203-Teri-Ave-90503/home/7656191,CRMLS,SB19115779,N,Y,33.8359644,-118.3365846
PAST SALE,,Condo/Co-op,2889 Plaza del Amo #101,Torrance,CA,90503,880000,4,3.0,,2000,,2003,,440,,,,,http://www.redfin.com/CA/Torrance/2889-Plaza-del-Amo-90503/unit-101/home/8121789,,,N,Y,33.8282066,-118.3373501
PAST SALE,October-3-2018,Single Family Residential,16705 Francis Ct,Torrance,CA,90504,769000,4,3.0,132 - N Torrance - West,2063,7568,1963,491,373,,Sold,,,http://www.redfin.com/CA/Torrance/16705-Francis-Ct-90504/home/6577834,CRMLS,SB18179802,N,Y,33.8790025,-118.336401
PAST SALE,December-20-2019,Single Family Residential,16903 Kornblum Ave,Torrance,CA,90504,725000,4,1.75,132 - N Torrance - West,1484,5356,1956,48,489,,Sold,,,http://www.redfin.com/CA/Torrance/16903-Kornblum-Ave-90504/home/6578177,CRMLS,SB19267787,N,Y,33.8770689,-118.3377251
PAST SALE,June-21-2019,Single Family Residential,1888 Plaza Del Amo,Torrance,CA,90501,825000,4,2.5,134 - Old Torrance,2136,3555,2000,230,386,,Sold,,,http://www.redfin.com/CA/Torrance/1888-Plaza-del-Amo-90501/home/8111975,CRMLS,DW19106323,N,Y,33.8237708,-118.314163
PAST SALE,April-25-2019,Single Family Residential,3832 W 176th St,Torrance,CA,90504,772000,4,2.0,132 - N Torrance - West,1477,5456,1951,287,523,,Sold,,,http://www.redfin.com/CA/Torrance/3832-W-176th-St-90504/home/6579808,CRMLS,SB19053248,N,Y,33.8704279,-118.3410941
PAST SALE,April-20-2018,Single Family Residential,16110 Illinois Ct,Torrance,CA,90504,750000,4,2.5,133 - N Torrance - East,1944,5500,1950,657,386,,Sold,,,http://www.redfin.com/CA/Torrance/16110-Illinois-Ct-90504/home/6538623,CRMLS,CV18044802,N,Y,33.8842458,-118.313615
