SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-16-2019,Single Family Residential,1965 W 218th St,Torrance,CA,90501,700000,3,2.0,134 - Old Torrance,1446,1625,1925,52,484,,Sold,,,http://www.redfin.com/CA/Torrance/1965-W-218th-St-90501/home/7652147,CRMLS,PW19262711,N,Y,33.8297477,-118.316016
PAST SALE,October-30-2018,Single Family Residential,18820 Patronella Ave,Torrance,CA,90504,705000,3,1.5,132 - N Torrance - West,1183,5612,1953,464,596,,Sold,,,http://www.redfin.com/CA/Torrance/18820-Patronella-Ave-90504/home/6581851,CRMLS,PW18188604,N,Y,33.8598467,-118.333981
PAST SALE,January-23-2020,Single Family Residential,17019 Van Ness Ave,Torrance,CA,90504,745000,3,1.75,133 - N Torrance - East,1198,4980,1955,14,622,,Sold,,,http://www.redfin.com/CA/Torrance/17019-Van-Ness-Ave-90504/home/6589149,CRMLS,SB19275482,N,Y,33.8759267,-118.3180446
PAST SALE,July-5-2019,Single Family Residential,2803 Danaha St,Torrance,CA,90505,745000,3,1.0,125 - Walteria,968,5032,1952,216,770,,Sold,,,http://www.redfin.com/CA/Torrance/2803-Danaha-St-90505/home/7721440,CRMLS,SB19085953,N,Y,33.7930646,-118.3366293
PAST SALE,August-29-2018,Single Family Residential,24611 Walnut St,Lomita,CA,90717,715000,3,2.0,121 - Lomita,1500,5535,1957,526,477,,Sold,,,http://www.redfin.com/CA/Lomita/24611-Walnut-St-90717/home/7661524,CRMLS,SB18142783,N,Y,33.8020506,-118.3121543
PAST SALE,,Single Family Residential,911 Patronella Ave,Torrance,CA,90503,749000,3,1.0,,1137,6121,1951,,659,,,,,http://www.redfin.com/CA/Torrance/911-Patronella-Ave-90503/home/7650303,,,N,Y,33.8382505,-118.3342549
PAST SALE,April-26-2019,Single Family Residential,18416 Elgar Ave,Torrance,CA,90504,730000,3,2.0,132 - N Torrance - West,1515,5056,1953,286,482,,Sold,,,http://www.redfin.com/CA/Torrance/18416-Elgar-Ave-90504/home/6583166,CRMLS,BB19029194,N,Y,33.8634072,-118.3288669
PAST SALE,October-26-2018,Single Family Residential,3633 W 181st St,Torrance,CA,90504,795000,3,2.0,132 - N Torrance - West,1638,5236,1953,468,485,,Sold,,,http://www.redfin.com/CA/Torrance/3633-181st-St-90504/home/6580627,CRMLS,PW18230440,N,Y,33.8665527,-118.3367434
PAST SALE,March-12-2019,Single Family Residential,18807 Felbar Ave,Torrance,CA,90504,717000,3,1.75,132 - N Torrance - West,1300,7904,1955,331,552,,Sold,,,http://www.redfin.com/CA/Torrance/18807-Felbar-Ave-90504/home/6582462,CRMLS,SB19034140,N,Y,33.8599336,-118.3390949
PAST SALE,December-21-2018,Single Family Residential,4528 Narrot St,Torrance,CA,90503,780000,3,1.0,131 - West Torrance,1120,5408,1954,412,696,,Sold,,,http://www.redfin.com/CA/Torrance/4528-Narrot-St-90503/home/7714759,CRMLS,SB18278538,N,Y,33.8554985,-118.3552576
