SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-10-2018,Single Family Residential,2546 Ridgeland Rd,Torrance,CA,90505,885000,3,2.0,125 - Walteria,1660,5297,1955,667,533,,Sold,,,http://www.redfin.com/CA/Torrance/2546-Ridgeland-Rd-90505/home/7721795,CRMLS,SB18039660,N,Y,33.7848585,-118.3362267
PAST SALE,February-12-2019,Single Family Residential,20105 Hinsdale Ave,Torrance,CA,90503,879000,3,1.0,131 - West Torrance,1112,5355,1955,359,790,,Sold,,,http://www.redfin.com/CA/Torrance/20105-Hinsdale-Ave-90503/home/7714284,CRMLS,SB18281392,N,Y,33.849706,-118.3675384
PAST SALE,November-15-2018,Single Family Residential,3434 W 226th St,Torrance,CA,90505,831000,3,2.0,127 - South East Torrance - West,1227,5457,1954,448,677,,Sold,,,http://www.redfin.com/CA/Torrance/3434-W-226th-St-90505/home/7657878,CRMLS,SB18239857,N,Y,33.8224759,-118.3461448
PAST SALE,May-21-2019,Single Family Residential,4778 W 191st St,Torrance,CA,90503,855000,3,1.0,131 - West Torrance,1098,7150,1954,261,779,,Sold,,,http://www.redfin.com/CA/Torrance/4778-191st-St-90503/home/7714434,CRMLS,SB19044312,N,Y,33.8575434,-118.3611927
PAST SALE,November-1-2018,Single Family Residential,2346 W 238th St,Torrance,CA,90501,825000,3,1.75,135 - South East Torrance - East,1340,5454,1956,462,616,,Sold,,,http://www.redfin.com/CA/Torrance/2346-238th-St-90501/home/7660784,CRMLS,SB18188752,N,Y,33.8085252,-118.3241636
PAST SALE,July-17-2018,Single Family Residential,2506 Brian Ave,Torrance,CA,90505,809000,3,1.0,125 - Walteria,1173,6009,1955,569,690,,Sold,,,http://www.redfin.com/CA/Torrance/2506-Brian-Ave-90505/home/7722003,CRMLS,SB18119394,N,Y,33.7882384,-118.3328847
PAST SALE,April-19-2018,Single Family Residential,2818 Winlock Rd,Torrance,CA,90505,830000,3,1.0,125 - Walteria,982,8410,1952,658,845,,Sold,,,http://www.redfin.com/CA/Torrance/2818-Winlock-Rd-90505/home/7727906,CRMLS,SB18054719,N,Y,33.7923036,-118.3372685
PAST SALE,April-11-2018,Single Family Residential,2714 Normallin St,Torrance,CA,90505,899000,3,2.0,125 - Walteria,1212,5241,1953,666,742,,Sold,,,http://www.redfin.com/CA/Torrance/2714-Normallin-St-90505/home/7721495,CRMLS,SB18022324,N,Y,33.7917223,-118.3358984
PAST SALE,December-12-2018,Single Family Residential,2721 Clarellen St,Torrance,CA,90505,820500,3,1.0,125 - Walteria,1050,5249,1953,421,781,,Sold,,,http://www.redfin.com/CA/Torrance/2721-Clarellen-St-90505/home/7721487,CRMLS,SB18268231,N,Y,33.7916659,-118.3364466
PAST SALE,February-21-2018,Single Family Residential,2734 Ridgeland Rd,Torrance,CA,90505,810000,3,1.0,125 - Walteria,1144,5053,1954,715,708,,Sold,,,http://www.redfin.com/CA/Torrance/2734-Ridgeland-Rd-90505/home/7721579,CRMLS,SB17271475,N,Y,33.7870943,-118.3376592
PAST SALE,January-31-2019,Single Family Residential,2657 Dalemead St,Torrance,CA,90505,845000,3,2.5,125 - Walteria,1920,4990,1978,371,440,,Sold,,,http://www.redfin.com/CA/Torrance/2657-Dalemead-St-90505/home/7722129,CRMLS,SB18291948,N,Y,33.7911668,-118.3330688
PAST SALE,November-27-2018,Single Family Residential,2639 Grand Summit Rd,Torrance,CA,90505,859000,3,2.0,125 - Walteria,1214,5602,1954,436,708,,Sold,,,http://www.redfin.com/CA/Torrance/2639-Grand-Summit-Rd-90505/home/7721800,CRMLS,OC18255194,N,Y,33.7848647,-118.3366809
PAST SALE,November-28-2018,Single Family Residential,2618 Loftyview Dr,Torrance,CA,90505,880000,3,2.0,125 - Walteria,1556,5826,1954,435,566,,Sold,,,http://www.redfin.com/CA/Torrance/2618-Loftyview-Dr-90505/home/7721655,CRMLS,SB18158296,N,Y,33.7835104,-118.3369749
PAST SALE,August-28-2019,Single Family Residential,2611 Loftyview Dr,Torrance,CA,90505,885000,3,1.75,125 - Walteria,1649,5265,1954,162,537,,Sold,,,http://www.redfin.com/CA/Torrance/2611-Loftyview-Dr-90505/home/7721741,CRMLS,OC19180906,N,Y,33.7836825,-118.3364103
PAST SALE,April-16-2019,Single Family Residential,1913 Nordman St,Lomita,CA,90717,859900,3,2.0,121 - Lomita,2012,7105,1957,296,427,,Sold,,,http://www.redfin.com/CA/Lomita/1913-Nordman-St-90717/home/7661527,CRMLS,SB19038678,N,Y,33.8019904,-118.3125665
PAST SALE,December-27-2019,Single Family Residential,17027 Elgar Ave,Torrance,CA,90504,828000,3,2.0,699 - Not Defined,1429,6271,1948,41,579,,Sold,,,http://www.redfin.com/CA/Torrance/17027-Elgar-Ave-90504/home/6587241,CRMLS,OC19263473,N,Y,33.8756664,-118.3287299
PAST SALE,June-12-2018,Single Family Residential,18429 Burin Ave,Redondo Beach,CA,90278,850000,3,2.0,153 - N Redondo Bch/El Nido,1700,4502,1975,604,500,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/18429-Burin-Ave-90278/home/6573492,CRMLS,SB18103083,N,Y,33.8628886,-118.353751
PAST SALE,April-16-2018,Single Family Residential,18414 Grevillea Ave,Redondo Beach,CA,90278,810000,3,2.0,153 - N Redondo Bch/El Nido,1572,4506,1965,661,515,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/18414-Grevillea-Ave-90278/home/6573535,CRMLS,SB18047263,N,Y,33.8634501,-118.3540706
PAST SALE,November-22-2019,Single Family Residential,4503 Bulova St,Torrance,CA,90503,840000,3,2.0,131 - West Torrance,1386,5531,1954,76,606,,Sold,,,http://www.redfin.com/CA/Torrance/4503-Bulova-St-90503/home/7715012,CRMLS,PW19186976,N,Y,33.8544894,-118.3541619
PAST SALE,August-14-2019,Single Family Residential,4810 Narrot St,Torrance,CA,90503,898000,3,1.75,131 - West Torrance,1112,5271,1954,176,808,,Sold,,,http://www.redfin.com/CA/Torrance/4810-Narrot-St-90503/home/7714879,CRMLS,SB19144827,N,Y,33.854543,-118.3610101
PAST SALE,May-6-2019,Single Family Residential,2605 190th St,Redondo Beach,CA,90278,825000,3,2.0,153 - N Redondo Bch/El Nido,1100,5005,1952,276,750,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/2605-190th-St-90278/home/6696952,CRMLS,PV19007164,N,Y,33.8585239,-118.3625623
PAST SALE,August-30-2019,Single Family Residential,19321 Beckworth Ave,Torrance,CA,90503,885000,3,1.0,131 - West Torrance,1158,5067,1954,160,764,,Sold,,,http://www.redfin.com/CA/Torrance/19321-Beckworth-Ave-90503/home/7714105,CRMLS,PV19047154,N,Y,33.8548169,-118.3659338
