SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-9-2018,Single Family Residential,4718 Via Corona,Torrance,CA,90505,1225000,3,1.75,128 - Hollywood Riviera,1705,7880,1956,699,718,,Sold,,,http://www.redfin.com/CA/Torrance/4718-Via-Corona-90505/home/7719792,CRMLS,SB18013378,N,Y,33.8061895,-118.3658493
PAST SALE,August-13-2019,Single Family Residential,22626 Marjorie Ave,Torrance,CA,90505,902000,3,2.0,129 - South Torrance,1428,5326,1953,177,632,,Sold,,,http://www.redfin.com/CA/Torrance/22626-Marjorie-Ave-90505/home/7717703,CRMLS,SB19131094,N,Y,33.8228944,-118.3586817
PAST SALE,August-7-2019,Single Family Residential,20003 Mildred Ave,Torrance,CA,90503,1155000,3,2.0,131 - West Torrance,1667,6224,1970,183,693,,Sold,,,http://www.redfin.com/CA/Torrance/20003-Mildred-Ave-90503/home/7713721,CRMLS,SB19160612,N,Y,33.850182,-118.376381
PAST SALE,June-28-2019,Single Family Residential,5406 Halison St,Torrance,CA,90503,934000,3,2.0,131 - West Torrance,1161,5236,1956,223,804,,Sold,,,http://www.redfin.com/CA/Torrance/5406-Halison-St-90503/home/7713444,CRMLS,SB19097792,N,Y,33.8510906,-118.3699874
PAST SALE,August-13-2019,Single Family Residential,4721 Greenmeadows Ave,Torrance,CA,90505,949000,3,1.5,128 - Hollywood Riviera,1212,5803,1953,177,783,,Sold,,,http://www.redfin.com/CA/Torrance/4721-Greenmeadows-Ave-90505/home/7719567,CRMLS,PV19057143,N,Y,33.8099524,-118.3653927
PAST SALE,January-6-2020,Single Family Residential,25610 Amber Leaf Rd,Torrance,CA,90505,1149000,3,2.0,125 - Walteria,1692,6384,1976,31,679,,Sold,,,http://www.redfin.com/CA/Torrance/25610-Amberleaf-Rd-90505/home/7727922,CRMLS,SB19260709,N,Y,33.7906293,-118.3379518
PAST SALE,April-12-2019,Single Family Residential,2505 Nearcliff St,Torrance,CA,90505,1010000,3,2.0,125 - Walteria,1410,7550,1955,300,716,,Sold,,,http://www.redfin.com/CA/Torrance/2505-Nearcliff-St-90505/home/7722023,CRMLS,SB19033652,N,Y,33.788891,-118.3342595
PAST SALE,June-20-2019,Single Family Residential,2524 Dalemead St,Torrance,CA,90505,960000,3,2.0,125 - Walteria,1890,6266,1955,231,508,,Sold,,,http://www.redfin.com/CA/Torrance/2524-Dalemead-St-90505/home/7721990,CRMLS,OC19115155,N,Y,33.7888453,-118.3320139
PAST SALE,January-31-2019,Single Family Residential,2917 Oakwood Ln,Torrance,CA,90505,1065000,3,3.5,125 - Walteria,2026,7309,1976,371,526,,Sold,,,http://www.redfin.com/CA/Torrance/2917-Oakwood-Ln-90505/home/7728073,CRMLS,SB18287249,N,Y,33.7886456,-118.3415277
PAST SALE,March-13-2018,Single Family Residential,2531 Highcliff Dr,Torrance,CA,90505,905000,3,1.75,125 - Walteria,1214,5403,1955,695,745,,Sold,,,http://www.redfin.com/CA/Torrance/2531-Highcliff-Dr-90505/home/7721875,CRMLS,PV18016725,N,Y,33.7854343,-118.3348942
PAST SALE,May-7-2019,Single Family Residential,4620 Greenmeadows Ave,Torrance,CA,90505,945000,3,2.0,128 - Hollywood Riviera,1467,5776,1953,275,644,,Sold,,,http://www.redfin.com/CA/Torrance/4620-Greenmeadows-Ave-90505/home/7719645,CRMLS,SB19068838,N,Y,33.809155,-118.364571
PAST SALE,August-23-2018,Single Family Residential,2409 Grand Summit Rd,Torrance,CA,90505,925000,3,2.0,125 - Walteria,1514,5377,1955,532,611,,Sold,,,http://www.redfin.com/CA/Torrance/2409-Grand-Summit-Rd-90505/home/7721715,CRMLS,SB18165023,N,Y,33.7829966,-118.3343112
PAST SALE,August-22-2019,Single Family Residential,26118 Delos Dr,Torrance,CA,90505,925000,3,3.0,125 - Walteria,1440,7308,1955,168,642,,Sold,,,http://www.redfin.com/CA/Torrance/26118-Delos-Dr-90505/home/7721699,CRMLS,SB19168792,N,Y,33.7849015,-118.333285
PAST SALE,June-20-2018,Single Family Residential,2534 Ridgeland Rd,Torrance,CA,90505,914000,3,1.75,125 - Walteria,1304,5315,1955,596,701,,Sold,,,http://www.redfin.com/CA/Torrance/2534-Ridgeland-Rd-90505/home/7721808,CRMLS,SB18110923,N,Y,33.784547,-118.3358617
PAST SALE,May-8-2019,Single Family Residential,105 Calle De Arboles,Redondo Beach,CA,90277,1650000,3,2.0,128 - Hollywood Riviera,1416,7668,1954,274,1165,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/105-Calle-de-Arboles-90277/home/7707911,CRMLS,SB19070567,N,Y,33.8047861,-118.3891069
PAST SALE,November-14-2018,Single Family Residential,447 Calle De Castellana,Redondo Beach,CA,90277,1248000,3,2.0,128 - Hollywood Riviera,2013,7296,1952,449,620,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/447-Cll-De-Castellana-90277/home/7708482,CRMLS,SB18216867,N,Y,33.8088663,-118.3800886
PAST SALE,September-30-2019,Single Family Residential,25912 Richville Dr,Torrance,CA,90505,1100000,3,2.0,125 - Walteria,1613,8291,1956,129,682,,Sold,,,http://www.redfin.com/CA/Torrance/25912-Richville-Dr-90505/home/7721928,CRMLS,PV19200210,N,Y,33.7869011,-118.3332613
PAST SALE,April-25-2018,Single Family Residential,312 Calle Mayor,Redondo Beach,CA,90277,1662000,3,2.0,128 - Hollywood Riviera,2028,7815,1963,652,820,,Sold,,,http://www.redfin.com/CA/Redondo-Beach/312-Calle-Mayor-90277/home/7708235,CRMLS,PV18060929,N,Y,33.8106364,-118.3837668
