SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-10-2018,Townhouse,406 Avenue G #14,Redondo Beach,CA,90277,815000,3,2.5,156 - S Redondo Bch S of Torrance Bl,1449,87692,1987,484,562,460,Sold,,,http://www.redfin.com/CA/Redondo-Beach/406-Avenue-G-90277/unit-14/home/7706896,CRMLS,SB18096131,N,Y,33.8192985,-118.3820009
PAST SALE,April-20-2018,Townhouse,4325 W 182nd St #26,Torrance,CA,90504,615000,3,2.5,132 - N Torrance - West,1492,58125,1980,657,412,315,Sold,,,http://www.redfin.com/CA/Torrance/4325-W-182nd-St-90504/unit-26/home/6574772,CRMLS,SB18056864,N,Y,33.8660666,-118.3513148
PAST SALE,April-5-2019,Townhouse,320 Paseo De La Playa Unit F,Redondo Beach,CA,90277,1315000,2,3.0,128 - Hollywood Riviera,1700,9757,1976,307,774,260,Sold,,,http://www.redfin.com/CA/Redondo-Beach/320-Paseo-De-La-Playa-90277/unit-F/home/7707268,CRMLS,SB19006674,N,Y,33.8131513,-118.3900558
PAST SALE,May-30-2018,Townhouse,519 Meyer Ln #47,Redondo Beach,CA,90278,725000,2,2.5,153 - N Redondo Bch/El Nido,1464,104089,1979,617,495,365,Sold,,,http://www.redfin.com/CA/Redondo-Beach/519-Meyer-Ln-90278/unit-47/home/6699011,CRMLS,SB18087270,N,Y,33.8590807,-118.3704365
PAST SALE,October-21-2019,Townhouse,22712 Meyler St,Torrance,CA,90502,700000,4,3.0,123 - County Strip,1727,41113,2016,108,405,130,Sold,,,http://www.redfin.com/CA/Torrance/22712-Meyler-St-90502/home/110239043,CRMLS,PW19219372,N,Y,33.820105,-118.294292
PAST SALE,April-25-2018,Townhouse,16603 Yukon Ave,Torrance,CA,90504,700000,3,2.5,132 - N Torrance - West,1534,37889,2004,652,456,145,Sold,,,http://www.redfin.com/CA/Torrance/16603-Yukon-Ave-90504/home/8145426,CRMLS,SB18045798,N,Y,33.8796388,-118.3353038
PAST SALE,October-26-2018,Townhouse,813 Van Ness Ave Unit B,Torrance,CA,90501,669000,3,3.0,134 - Old Torrance,1406,29161,2000,468,476,275,Sold,,,http://www.redfin.com/CA/Torrance/813-Van-Ness-Ave-90501/unit-B/home/8113104,CRMLS,SB18237340,N,Y,33.8389985,-118.318905
PAST SALE,June-13-2018,Townhouse,3525 Maricopa St #8,Torrance,CA,90503,799950,3,2.5,126 - Central Torrance,1680,26891,2013,603,476,130,Sold,,,http://www.redfin.com/CA/Torrance/3515-Maricopa-St-90503/unit-8/home/79038652,CRMLS,SB18066530,N,Y,33.8396419,-118.347438
PAST SALE,July-27-2018,Townhouse,4036 W 226th St,Torrance,CA,90505,685000,2,2.25,129 - South Torrance,1685,35162,1981,559,407,520,Sold,,,http://www.redfin.com/CA/Torrance/4036-W-226th-St-90505/home/7717677,CRMLS,SB18087099,N,Y,33.8229151,-118.3562171
PAST SALE,September-12-2019,Townhouse,2413 Cabrillo Ave Unit C,Torrance,CA,90501,671000,3,3.0,134 - Old Torrance,1488,11899,2004,147,451,185,Sold,,,http://www.redfin.com/CA/Torrance/2413-Cabrillo-Ave-90501/unit-C/home/8143898,CRMLS,PW19163385,N,Y,33.823471,-118.314854
PAST SALE,September-25-2019,Townhouse,2157 Plaza Del Amo,Torrance,CA,90501,650000,3,3.0,134 - Old Torrance,1212,12508,2004,134,536,225,Sold,,,http://www.redfin.com/CA/Torrance/2157-Plaza-del-Amo-90501/home/8143902,CRMLS,PW19181849,N,Y,33.8259102,-118.3184617
PAST SALE,September-13-2018,Townhouse,4261 W 190th St,Torrance,CA,90504,955000,4,3.5,132 - N Torrance - West,2580,131746,2004,511,370,175,Sold,,,http://www.redfin.com/CA/Torrance/4261-W-190th-St-90504/home/8144628,CRMLS,SB18139380,N,Y,33.858829,-118.348916
PAST SALE,October-10-2018,Townhouse,3727 Emerald St Unit B,Torrance,CA,90503,600000,2,2.5,131 - West Torrance,1128,54004,1987,484,532,470,Sold,,,http://www.redfin.com/CA/Torrance/3727-Emerald-St-90503/unit-B/home/7715890,CRMLS,PV18216277,N,Y,33.841665,-118.352459
PAST SALE,June-25-2018,Townhouse,22517 Kent Ave,Torrance,CA,90505,872000,3,2.5,129 - South Torrance,2054,45038,1999,591,425,265,Sold,,,http://www.redfin.com/CA/Torrance/22517-Kent-Ave-90505/home/7717635,CRMLS,PV18058483,N,Y,33.824104,-118.357109
