,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,MLS#,LATITUDE,LONGITUDE,FILENAME,COLLECTION,NEIGHBORHOOD
10954,2019-02-28,Single Family Residential,1 Bixby Ranch Road Rd,Rolling Hills Estates,CA,90274.0,4185335,4.0,4.5,4740.0,12174.0,2019.0,331.0,883.0,398.0,PV19020985,33.783293,-118.331308,rolling-hills-estates_01_sfh.csv,1,Rolling Hills Estates
13625,2019-02-28,Single Family Residential,1 Bixby Ranch Road Rd,Rolling Hills Estates,CA,90274.0,4185335,4.0,4.5,4740.0,12174.0,2019.0,343.0,883.0,398.0,PV19020985,33.783293,-118.331308,torrance_sfh-4beds-900K-plus.csv,2,Torrance
11706,2018-06-08,Condo/Co-op,1001 Park Circle Dr,Torrance,CA,90502.0,570000,3.0,2.5,1624.0,3783.0,1984.0,608.0,351.0,315.0,SB18086197,33.814929,-118.29378500000001,torrance_condos-500K_plus.csv,2,Torrance
10564,2018-06-08,Condo/Co-op,1001 Park Circle Dr,Torrance,CA,90502.0,570000,3.0,2.5,1624.0,3783.0,1984.0,596.0,351.0,315.0,SB18086197,33.814929,-118.29378500000001,carson_condos.csv,1,Carson
2956,2019-02-15,Single Family Residential,1004 W 213Th St,Torrance,CA,90502.0,541000,3.0,2.0,1215.0,5394.0,1959.0,344.0,445.0,0.0,SB18226072,33.8349544,-118.29260719999999,carson_sfh_450_to_540K.csv,1,Carson
13317,2019-02-15,Single Family Residential,1004 W 213Th St,Torrance,CA,90502.0,541000,3.0,2.0,1215.0,5394.0,1959.0,356.0,445.0,0.0,SB18226072,33.8349544,-118.29260719999999,torrance_sfh-3beds-0-700k.csv,2,Torrance
18127,2019-10-16,Condo/Co-op,1006 Calle Stellare,Rancho Palos Verdes,CA,90275.0,885000,2.0,2.0,1550.0,65254.0,2016.0,114.0,571.0,496.0,SB19209459,33.7695044,-118.37493119999999,rancho-palos-verdes_nosfh.csv,2,Rancho Palos Verdes
4596,2019-10-16,Condo/Co-op,1006 Calle Stellare,Rancho Palos Verdes,CA,90275.0,885000,2.0,2.0,1550.0,65254.0,2016.0,101.0,571.0,496.0,SB19209459,33.7695044,-118.37493119999999,rolling-hills-estates_no_sfh.csv,1,Rolling Hills Estates
18145,2019-06-12,Townhouse,1008 Calle Stellare,Rancho Palos Verdes,CA,90275.0,1300000,2.0,2.5,2332.0,39688.0,2016.0,240.0,557.0,469.0,SB19047642,33.768656299999996,-118.37365929999999,rancho-palos-verdes_nosfh.csv,2,Rancho Palos Verdes
4590,2019-06-12,Townhouse,1008 Calle Stellare,Rancho Palos Verdes,CA,90275.0,1300000,2.0,2.5,2332.0,39688.0,2016.0,227.0,557.0,469.0,SB19047642,33.768656299999996,-118.37365929999999,rolling-hills-estates_no_sfh.csv,1,Rolling Hills Estates
2379,2019-01-30,Single Family Residential,1012 W 209Th St,Torrance,CA,90502.0,572000,3.0,1.5,1027.0,6513.0,1953.0,360.0,557.0,0.0,18-382248,33.840597700000004,-118.2926528,carson_sfh_550_to_600K.csv,1,Carson
13348,2019-01-30,Single Family Residential,1012 W 209Th St,Torrance,CA,90502.0,572000,3.0,1.5,1027.0,6513.0,1953.0,372.0,557.0,0.0,18-382248,33.840597700000004,-118.2926528,torrance_sfh-3beds-0-700k.csv,2,Torrance
11813,2019-04-24,Condo/Co-op,1017 Park Circle Dr,Torrance,CA,90502.0,599000,3.0,3.0,1624.0,164774.0,1984.0,288.0,369.0,315.0,19-438770,33.814929,-118.29378500000001,torrance_condos-500K_plus.csv,2,Torrance
10457,2019-04-24,Condo/Co-op,1017 Park Circle Dr,Torrance,CA,90502.0,599000,3.0,3.0,1624.0,164774.0,1984.0,276.0,369.0,315.0,19-438770,33.814929,-118.29378500000001,carson_condos.csv,1,Carson
13426,2019-12-31,Single Family Residential,1018 Gian Dr,Torrance,CA,90502.0,630000,3.0,2.0,1542.0,3974.0,1977.0,37.0,409.0,0.0,SB19262465,33.821235200000004,-118.29319070000001,torrance_sfh-3beds-0-700k.csv,2,Torrance
10072,2019-12-31,Single Family Residential,1018 Gian Dr,Torrance,CA,90502.0,630000,3.0,2.0,1542.0,3974.0,1977.0,25.0,409.0,0.0,SB19262465,33.821235200000004,-118.29319070000001,carson_sfh_600K_plus.csv,1,Carson
4597,2019-11-14,Townhouse,1022 Calle Stellare,Rancho Palos Verdes,CA,90275.0,1050000,2.0,2.5,2332.0,12019.0,2017.0,72.0,450.0,469.0,PV19265430,33.768211,-118.373258,rolling-hills-estates_no_sfh.csv,1,Rolling Hills Estates
