SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,PRICE,ZIP OR POSTAL CODE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,MLS#,LATITUDE,LONGITUDE,NEIGHBORHOOD
2019-02-01,Single Family Residential,1641 Bay View Ave,Wilmington,730000,90744,7.0,5.0,3401.0,6651.0,2008,358.0,215.0,0.0,SB18278853,33.796253799999995,-118.2715321,Wilmington
2018-05-31,Single Family Residential,1410 W Sandison St,Wilmington,547000,90744,4.0,2.0,1948.0,5399.0,1962,604.0,281.0,0.0,SB18091442,33.7921951,-118.28082340000002,Wilmington
2019-10-31,Single Family Residential,1703 N Marine Ave,Wilmington,774000,90744,5.0,3.5,2900.0,5857.0,1940,86.0,267.0,0.0,PW19223929,33.7975468,-118.2654301,Wilmington
2019-04-15,Townhouse,1702 N Neptune Ave,Wilmington,619900,90744,4.0,2.0,1332.0,6605.0,1941,285.0,465.0,0.0,CV18258904,33.79725560000001,-118.27003229999998,Wilmington
2018-02-12,Townhouse,721 Pioneer Ave,Wilmington,460000,90744,5.0,4.0,1700.0,6402.0,1926,712.0,271.0,0.0,DW18004410,33.779983,-118.24828810000001,Wilmington
2019-03-19,Single Family Residential,1311 W Robidoux St,Wilmington,537500,90744,4.0,2.0,1431.0,5238.0,1953,312.0,376.0,0.0,DW19007788,33.7879168,-118.2799555,Wilmington
2019-05-24,Single Family Residential,1240 Ravenna Ave,Wilmington,525000,90744,4.0,3.0,1312.0,6246.0,1913,246.0,400.0,0.0,PW19055840,33.787856,-118.26848700000001,Wilmington
2019-09-19,Single Family Residential,903 N Marine Ave,Wilmington,515000,90744,5.0,2.0,1822.0,6701.0,1905,128.0,283.0,0.0,SB19093946,33.7813021,-118.2641054,Wilmington
2020-01-23,Single Family Residential,907 Hawaiian Ave,Los Angeles,480000,90744,4.0,2.0,1245.0,4800.0,1952,2.0,386.0,0.0,WS19273658,33.7808532,-118.27721499999998,Wilmington
2019-05-27,Single Family Residential,1015 E M St,Wilmington,500000,90744,4.0,2.0,1476.0,4806.0,1950,243.0,339.0,0.0,SB19069144,33.789443,-118.2502915,Wilmington
